（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,438,1,180,2,618,3,5.16%,1.52%,4.60%,2.06%,4.98%,1.84%,620,1,256,3,876,4,5.61%,1.32%,5.08%,5.45%,1.89%,100.00%,100.00%,18,1,2.91%,33.33%,US$647.82,US$35.99,15,1
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,272,0,114,3,386,3,3.21%,0.00%,2.91%,3.09%,3.11%,1.84%,339,0,154,4,493,4,3.07%,0.00%,3.06%,3.07%,1.89%,100.00%,100.00%,14,0,3.63%,0.00%,US$507.86,US$0.00,14,0
B09QBX987B,B0BGHNFH2V,UOZZI BEDDING Floral Comforter Sheet Set 7 Pieces Bed in a Bag Dark Grey Golden Flower Queen Size (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG210-Q,160,1,58,0,218,1,1.89%,1.52%,1.48%,0.00%,1.76%,0.61%,228,2,83,0,311,2,2.06%,2.63%,1.65%,1.93%,0.94%,100.00%,100.00%,11,0,5.05%,0.00%,US$384.89,US$0.00,11,0
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,208,1,104,2,312,3,2.45%,1.52%,2.66%,2.06%,2.52%,1.84%,277,2,141,4,418,6,2.51%,2.63%,2.80%,2.60%,2.83%,100.00%,100.00%,10,0,3.21%,0.00%,US$395.50,US$0.00,10,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,221,2,107,5,328,7,2.61%,3.03%,2.73%,5.15%,2.65%,4.29%,296,2,136,8,432,10,2.68%,2.63%,2.70%,2.69%,4.72%,100.00%,100.00%,10,0,3.05%,0.00%,US$699.90,US$0.00,10,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,524,5,249,5,773,10,6.18%,7.58%,6.36%,5.15%,6.23%,6.13%,705,5,356,8,"1,061",13,6.38%,6.58%,7.06%,6.60%,6.13%,99.62%,92.31%,10,1,1.29%,10.00%,US$599.80,US$59.98,10,1
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,87,1,38,3,125,4,1.03%,1.52%,0.97%,3.09%,1.01%,2.45%,114,1,45,4,159,5,1.03%,1.32%,0.89%,0.99%,2.36%,98.74%,100.00%,8,2,6.40%,50.00%,US$223.92,US$55.98,8,2
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,221,3,103,3,324,6,2.61%,4.55%,2.63%,3.09%,2.61%,3.68%,306,3,130,3,436,6,2.77%,3.95%,2.58%,2.71%,2.83%,99.08%,100.00%,7,0,2.16%,0.00%,US$209.93,US$0.00,7,0
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,182,1,88,1,270,2,2.15%,1.52%,2.25%,1.03%,2.18%,1.23%,230,1,111,1,341,2,2.08%,1.32%,2.20%,2.12%,0.94%,99.71%,100.00%,6,0,2.22%,0.00%,US$232.14,US$0.00,6,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,133,0,49,3,182,3,1.57%,0.00%,1.25%,3.09%,1.47%,1.84%,200,0,82,5,282,5,1.81%,0.00%,1.63%,1.75%,2.36%,99.29%,100.00%,6,1,3.30%,33.33%,US$209.94,US$34.99,6,1
B08DXYYPHT,B08B51JB5N,UOZZI BEDDING 2 Piece Reversible Colorful Quilt Set Twin Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-T,52,0,37,1,89,1,0.61%,0.00%,0.94%,1.03%,0.72%,0.61%,113,0,44,1,157,1,1.02%,0.00%,0.87%,0.98%,0.47%,98.73%,100.00%,7,0,7.87%,0.00%,US$243.13,US$0.00,6,0
B09YM4LNS6,B09YM5ZBK2,"4 Pieces White Toddler Bedding Set with Ruffle Fringe, Solid Color Toddler Bed Set - 1 Toddler Comforter + 1 Fitted Sheet +1 Flat Sheet +1 Pillowcase for Baby Boys and Girls",UTBS-CSHB-03,60,1,21,0,81,1,0.71%,1.52%,0.54%,0.00%,0.65%,0.61%,88,2,24,0,112,2,0.80%,2.63%,0.48%,0.70%,0.94%,100.00%,100.00%,6,0,7.41%,0.00%,US$179.94,US$0.00,6,0
B08D6LSCQ7,B07JGWLX2Q,"3 Piece Duvet Cover Set Queen (1 All Season Design Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots, 800 - TC Comforter Cover with Zipper Closure, 4 Corner Ties - Pink Gray Yellow Circles",BTN38-Q,101,1,51,1,152,2,1.19%,1.52%,1.30%,1.03%,1.23%,1.23%,148,1,70,1,218,2,1.34%,1.32%,1.39%,1.36%,0.94%,99.08%,100.00%,5,0,3.29%,0.00%,US$129.95,US$0.00,5,0
B091Y38CV7,B091Y46G8R,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Dark Gray & Gray",UTBSC-08,80,0,27,1,107,1,0.94%,0.00%,0.69%,1.03%,0.86%,0.61%,93,0,28,1,121,1,0.84%,0.00%,0.56%,0.75%,0.47%,100.00%,100.00%,5,1,4.67%,100.00%,US$139.95,US$27.99,5,1
B091Y38CV7,B091YBKHZG,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Pink & Gray",UTBSC-10,60,1,18,0,78,1,0.71%,1.52%,0.46%,0.00%,0.63%,0.61%,77,1,21,0,98,1,0.70%,1.32%,0.42%,0.61%,0.47%,100.00%,100.00%,6,1,7.69%,100.00%,US$167.94,US$27.99,5,1
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,164,2,63,2,227,4,1.93%,3.03%,1.61%,2.06%,1.83%,2.45%,212,2,81,2,293,4,1.92%,2.63%,1.61%,1.82%,1.89%,97.95%,100.00%,5,1,2.20%,25.00%,US$149.95,US$29.99,5,1
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,235,0,135,5,370,5,2.77%,0.00%,3.45%,5.15%,2.98%,3.07%,289,0,167,7,456,7,2.62%,0.00%,3.31%,2.84%,3.30%,100.00%,100.00%,5,1,1.35%,20.00%,US$329.95,US$65.99,5,1
B092LX5PDW,B0B7J5PNSW,Green Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Reversible Bedding Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 White Fitted Sheet 2 Pillowcases),UZBIG196-Q,165,0,120,2,285,2,1.95%,0.00%,3.06%,2.06%,2.30%,1.23%,187,0,150,3,337,3,1.69%,0.00%,2.98%,2.10%,1.42%,99.41%,100.00%,5,0,1.75%,0.00%,US$299.95,US$0.00,5,0
B01JL0GK9E,B01H1O894G,"UOZZI BEDDING 4 Corners Post Pink Canopy Bed Curtain for Girls & Adults - Cute Cozy Drape Square Netting for Twin Bed - 4 Opening 45"" W x 80"" L Mosquito Net - Princess Bedroom Decoration",FXA04-T,67,0,52,1,119,1,0.79%,0.00%,1.33%,1.03%,0.96%,0.61%,103,0,64,1,167,1,0.93%,0.00%,1.27%,1.04%,0.47%,100.00%,100.00%,4,0,3.36%,0.00%,US$99.96,US$0.00,4,0
B07NW55BDC,B07NW47G7N,"UOZZI BEDDING All-Season Bright Pink Flannel Fleece Baby Small Blanket for Girls - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, Size 27""x39""",TZK21-70,33,2,17,0,50,2,0.39%,3.03%,0.43%,0.00%,0.40%,1.23%,44,4,20,0,64,4,0.40%,5.26%,0.40%,0.40%,1.89%,100.00%,100.00%,4,0,8.00%,0.00%,US$35.96,US$0.00,4,0
B08DXYYPHT,B07TRKBFTF,UOZZI BEDDING 3 Piece Reversible White Quilt Set Queen Size with Blue Green Leaves and Red Flowers Soft Microfiber Lightweight Floral Adult Summer Coverlet Bedspread for All Season,UQT60-Q,168,1,56,1,224,2,1.98%,1.52%,1.43%,1.03%,1.81%,1.23%,201,1,66,1,267,2,1.82%,1.32%,1.31%,1.66%,0.94%,100.00%,50.00%,4,0,1.79%,0.00%,US$159.96,US$0.00,4,0
B08HV2DGDW,B08HLWJNZN,"Gray Faux Fur Comforter Set Full/Queen 3 Pieces - 1 Shaggy Comforter 90x90 and 2 Fur Pillowcases, Ultra Soft and Easy Care Sherpa Luxury Plush Super Warm Winter Shaggy Bedding Set",CMRCBZ01-Q,73,2,27,0,100,2,0.86%,3.03%,0.69%,0.00%,0.81%,1.23%,106,2,36,0,142,2,0.96%,2.63%,0.71%,0.88%,0.94%,100.00%,100.00%,4,0,4.00%,0.00%,US$319.96,US$0.00,4,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,43,1,17,1,60,2,0.51%,1.52%,0.43%,1.03%,0.48%,1.23%,69,1,22,1,91,2,0.62%,1.32%,0.44%,0.57%,0.94%,94.51%,50.00%,4,0,6.67%,0.00%,US$139.96,US$0.00,4,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,199,1,38,2,237,3,2.35%,1.52%,0.97%,2.06%,1.91%,1.84%,275,1,62,5,337,6,2.49%,1.32%,1.23%,2.10%,2.83%,100.00%,100.00%,5,0,2.11%,0.00%,US$149.95,US$0.00,4,0
B092LX5PDW,B09KXL7TTG,UOZZI BEDDING Cream White Bed in a Bag King 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-K,86,1,52,3,138,4,1.01%,1.52%,1.33%,3.09%,1.11%,2.45%,109,2,78,4,187,6,0.99%,2.63%,1.55%,1.16%,2.83%,100.00%,100.00%,4,1,2.90%,25.00%,US$271.96,US$67.99,4,1
B07SQPMYT8,B07SQPP9PN,UOZZI BEDDING Unicorn 4 Pieces Toddler Bedding Set with Colorful Rainbow Stars Pink Cute Girls Toddler Bed Comforter Sheet Set and Pillowcases,UTBS-Pink,43,2,20,0,63,2,0.51%,3.03%,0.51%,0.00%,0.51%,1.23%,66,2,24,0,90,2,0.60%,2.63%,0.48%,0.56%,0.94%,100.00%,100.00%,3,0,4.76%,0.00%,US$89.97,US$0.00,3,0
