（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,343,4,124,3,467,7,4.56%,5.19%,3.93%,4.23%,4.37%,4.73%,484,5,165,3,649,8,4.96%,5.00%,4.10%,4.71%,4.30%,99.54%,87.50%,14,0,3.00%,0.00%,US$839.72,US$0.00,14,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,529,5,210,1,739,6,7.03%,6.49%,6.66%,1.41%,6.92%,4.05%,703,6,291,1,994,7,7.20%,6.00%,7.23%,7.21%,3.76%,99.90%,100.00%,14,0,1.89%,0.00%,US$839.72,US$0.00,14,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,231,2,133,3,364,5,3.07%,2.60%,4.22%,4.23%,3.41%,3.38%,327,4,193,4,520,8,3.35%,4.00%,4.80%,3.77%,4.30%,99.42%,100.00%,13,0,3.57%,0.00%,US$519.87,US$0.00,13,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,255,2,54,2,309,4,3.39%,2.60%,1.71%,2.82%,2.89%,2.70%,347,2,71,4,418,6,3.55%,2.00%,1.76%,3.03%,3.23%,99.76%,100.00%,11,0,3.56%,0.00%,US$329.89,US$0.00,11,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,209,1,76,1,285,2,2.78%,1.30%,2.41%,1.41%,2.67%,1.35%,269,2,91,1,360,3,2.75%,2.00%,2.26%,2.61%,1.61%,99.44%,100.00%,10,0,3.51%,0.00%,US$299.90,US$0.00,10,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,157,3,30,1,187,4,2.09%,3.90%,0.95%,1.41%,1.75%,2.70%,221,9,35,1,256,10,2.26%,9.00%,0.87%,1.86%,5.38%,100.00%,100.00%,9,0,4.81%,0.00%,US$314.91,US$0.00,8,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,79,2,23,1,102,3,1.05%,2.60%,0.73%,1.41%,0.96%,2.03%,97,2,30,1,127,3,0.99%,2.00%,0.75%,0.92%,1.61%,100.00%,100.00%,8,0,7.84%,0.00%,US$239.92,US$0.00,8,0
B092VTVKZ7,B09NQ3ST6Z,"UOZZI BEDDING 4 Pieces White Girls Toddler Bedding Set Purple Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-168,121,2,33,1,154,3,1.61%,2.60%,1.05%,1.41%,1.44%,2.03%,143,3,38,1,181,4,1.46%,3.00%,0.94%,1.31%,2.15%,99.45%,100.00%,8,0,5.19%,0.00%,US$239.92,US$0.00,8,0
B07NW55BDC,B07NW47G7N,"UOZZI BEDDING All-Season Bright Pink Flannel Fleece Baby Small Blanket for Girls - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, Size 27""x39""",TZK21-70,32,0,27,0,59,0,0.43%,0.00%,0.86%,0.00%,0.55%,0.00%,49,0,27,0,76,0,0.50%,0.00%,0.67%,0.55%,0.00%,100.00%,0.00%,7,0,11.86%,0.00%,US$62.93,US$0.00,6,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,130,3,24,0,154,3,1.73%,3.90%,0.76%,0.00%,1.44%,2.03%,177,4,36,0,213,4,1.81%,4.00%,0.89%,1.54%,2.15%,99.53%,100.00%,7,0,4.55%,0.00%,US$244.93,US$0.00,6,0
