（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,432,1,175,3,607,4,5.73%,1.49%,5.27%,6.25%,5.59%,3.48%,605,2,254,15,859,17,6.22%,2.27%,5.92%,6.13%,10.43%,99.65%,100.00%,16,0,2.64%,0.00%,US$587.84,US$0.00,15,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,148,2,48,1,196,3,1.96%,2.99%,1.45%,2.08%,1.80%,2.61%,210,2,57,1,267,3,2.16%,2.27%,1.33%,1.91%,1.84%,99.63%,100.00%,14,0,7.14%,0.00%,US$419.86,US$0.00,14,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,249,1,102,2,351,3,3.30%,1.49%,3.07%,4.17%,3.23%,2.61%,326,1,130,2,456,3,3.35%,1.14%,3.03%,3.25%,1.84%,99.78%,100.00%,14,0,3.99%,0.00%,US$519.86,US$0.00,13,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,91,0,24,2,115,2,1.21%,0.00%,0.72%,4.17%,1.06%,1.74%,117,0,38,2,155,2,1.20%,0.00%,0.89%,1.11%,1.23%,100.00%,100.00%,16,4,13.91%,200.00%,US$447.84,US$111.96,13,1
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,184,1,93,3,277,4,2.44%,1.49%,2.80%,6.25%,2.55%,3.48%,232,1,126,3,358,4,2.39%,1.14%,2.94%,2.56%,2.45%,99.44%,100.00%,12,0,4.33%,0.00%,US$468.58,US$0.00,12,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,509,7,204,2,713,9,6.75%,10.45%,6.14%,4.17%,6.56%,7.83%,713,8,288,2,"1,001",10,7.33%,9.09%,6.71%,7.14%,6.13%,99.70%,100.00%,12,0,1.68%,0.00%,US$653.76,US$0.00,12,0
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,222,0,103,3,325,3,2.94%,0.00%,3.10%,6.25%,2.99%,2.61%,302,0,128,3,430,3,3.11%,0.00%,2.98%,3.07%,1.84%,99.77%,100.00%,10,0,3.08%,0.00%,US$386.90,US$0.00,10,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,266,5,112,2,378,7,3.53%,7.46%,3.37%,4.17%,3.48%,6.09%,340,5,153,2,493,7,3.50%,5.68%,3.57%,3.52%,4.29%,100.00%,100.00%,10,1,2.65%,14.29%,US$599.90,US$59.99,10,1
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,240,2,81,0,321,2,3.18%,2.99%,2.44%,0.00%,2.95%,1.74%,323,2,108,0,431,2,3.32%,2.27%,2.52%,3.08%,1.23%,99.07%,100.00%,15,0,4.67%,0.00%,US$899.70,US$0.00,9,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,214,1,79,1,293,2,2.84%,1.49%,2.38%,2.08%,2.70%,1.74%,280,3,111,1,391,4,2.88%,3.41%,2.59%,2.79%,2.45%,99.74%,100.00%,10,0,3.41%,0.00%,US$636.90,US$0.00,9,0
