（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,485,5,226,4,711,9,5.85%,5.95%,6.42%,5.33%,6.02%,5.66%,684,5,291,4,975,9,6.31%,4.42%,6.56%,6.39%,4.23%,100.00%,100.00%,16,0,2.25%,0.00%,US$959.68,US$0.00,16,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,217,3,50,1,267,4,2.62%,3.57%,1.42%,1.33%,2.26%,2.52%,304,4,64,1,368,5,2.81%,3.54%,1.44%,2.41%,2.35%,100.00%,100.00%,13,0,4.87%,0.00%,US$454.87,US$0.00,13,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,264,4,77,2,341,6,3.18%,4.76%,2.19%,2.67%,2.89%,3.77%,343,6,94,2,437,8,3.17%,5.31%,2.12%,2.86%,3.76%,99.31%,100.00%,13,2,3.81%,33.33%,US$389.87,US$59.98,12,1
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,436,6,128,1,564,7,5.26%,7.14%,3.63%,1.33%,4.77%,4.40%,604,9,158,1,762,10,5.57%,7.96%,3.56%,4.99%,4.69%,100.00%,100.00%,10,0,1.77%,0.00%,US$539.82,US$0.00,10,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,181,3,72,2,253,5,2.18%,3.57%,2.04%,2.67%,2.14%,3.14%,224,5,91,2,315,7,2.07%,4.42%,2.05%,2.06%,3.29%,98.41%,100.00%,10,0,3.95%,0.00%,US$299.90,US$0.00,10,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,110,2,55,1,165,3,1.33%,2.38%,1.56%,1.33%,1.40%,1.89%,143,3,64,1,207,4,1.32%,2.65%,1.44%,1.36%,1.88%,100.00%,100.00%,9,0,5.45%,0.00%,US$399.92,US$0.00,9,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,88,2,26,3,114,5,1.06%,2.38%,0.74%,4.00%,0.96%,3.14%,108,2,37,3,145,5,1.00%,1.77%,0.83%,0.95%,2.35%,100.00%,100.00%,9,0,7.89%,0.00%,US$269.91,US$0.00,9,0
B08D6LSCQ7,B07JGWLX2Q,"3 Piece Duvet Cover Set Queen (1 All Season Design Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots, 800 - TC Comforter Cover with Zipper Closure, 4 Corner Ties - Pink Gray Yellow Circles",BTN38-Q,104,1,54,0,158,1,1.25%,1.19%,1.53%,0.00%,1.34%,0.63%,146,2,83,0,229,2,1.35%,1.77%,1.87%,1.50%,0.94%,100.00%,100.00%,8,0,5.06%,0.00%,US$207.92,US$0.00,8,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,166,2,35,0,201,2,2.00%,2.38%,0.99%,0.00%,1.70%,1.26%,239,4,46,0,285,4,2.21%,3.54%,1.04%,1.87%,1.88%,100.00%,100.00%,9,0,4.48%,0.00%,US$314.91,US$0.00,8,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,243,1,141,3,384,4,2.93%,1.19%,4.00%,4.00%,3.25%,2.52%,346,1,179,3,525,4,3.19%,0.88%,4.04%,3.44%,1.88%,100.00%,100.00%,6,0,1.56%,0.00%,US$199.95,US$0.00,6,0
