（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,337,2,123,2,460,4,4.36%,3.70%,3.77%,2.90%,4.19%,3.25%,468,6,166,2,634,8,4.62%,8.00%,4.00%,4.44%,4.85%,98.90%,100.00%,12,0,2.61%,0.00%,US$479.88,US$0.00,11,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,306,2,121,3,427,5,3.96%,3.70%,3.71%,4.35%,3.89%,4.07%,409,3,164,3,573,6,4.04%,4.00%,3.95%,4.01%,3.64%,99.13%,100.00%,9,0,2.11%,0.00%,US$539.82,US$0.00,9,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,571,4,206,5,777,9,7.39%,7.41%,6.32%,7.25%,7.07%,7.32%,767,4,263,6,"1,030",10,7.58%,5.33%,6.33%,7.21%,6.06%,100.00%,100.00%,9,0,1.16%,0.00%,US$539.82,US$0.00,9,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,142,2,37,1,179,3,1.84%,3.70%,1.13%,1.45%,1.63%,2.44%,207,2,52,2,259,4,2.05%,2.67%,1.25%,1.81%,2.42%,100.00%,100.00%,8,0,4.47%,0.00%,US$279.92,US$0.00,8,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,181,3,68,1,249,4,2.34%,5.56%,2.08%,1.45%,2.27%,3.25%,220,5,82,1,302,6,2.17%,6.67%,1.97%,2.12%,3.64%,100.00%,100.00%,8,0,3.21%,0.00%,US$319.92,US$0.00,8,0
B07NW55BDC,B07NW5H492,"UOZZI BEDDING All-Season Teal (Light Blue) Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK24-70,65,2,25,2,90,4,0.84%,3.70%,0.77%,2.90%,0.82%,3.25%,90,2,33,2,123,4,0.89%,2.67%,0.79%,0.86%,2.42%,100.00%,100.00%,7,0,7.78%,0.00%,US$62.93,US$0.00,7,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,121,1,29,1,150,2,1.57%,1.85%,0.89%,1.45%,1.37%,1.63%,185,1,40,1,225,2,1.83%,1.33%,0.96%,1.58%,1.21%,100.00%,100.00%,7,0,4.67%,0.00%,US$244.93,US$0.00,7,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,171,0,77,3,248,3,2.21%,0.00%,2.36%,4.35%,2.26%,2.44%,216,0,94,5,310,5,2.13%,0.00%,2.26%,2.17%,3.03%,99.68%,100.00%,8,0,3.23%,0.00%,US$239.92,US$0.00,7,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,84,1,24,0,108,1,1.09%,1.85%,0.74%,0.00%,0.98%,0.81%,115,3,28,0,143,3,1.14%,4.00%,0.67%,1.00%,1.82%,100.00%,100.00%,7,0,6.48%,0.00%,US$195.93,US$0.00,6,0
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,107,1,66,1,173,2,1.39%,1.85%,2.02%,1.45%,1.58%,1.63%,157,1,81,1,238,2,1.55%,1.33%,1.95%,1.67%,1.21%,99.16%,100.00%,5,0,2.89%,0.00%,US$214.95,US$0.00,5,0
