（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,728,5,314,6,"1,042",11,7.02%,4.90%,7.69%,10.17%,7.21%,6.83%,"1,041",5,456,8,"1,497",13,7.60%,3.88%,8.77%,7.93%,6.31%,99.73%,100.00%,18,0,1.73%,0.00%,"US$1,079.64",US$0.00,18,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,276,1,113,4,389,5,2.66%,0.98%,2.77%,6.78%,2.69%,3.11%,568,4,163,5,731,9,4.15%,3.10%,3.14%,3.87%,4.37%,73.46%,66.67%,13,1,3.34%,20.00%,US$519.87,US$39.99,13,1
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,261,1,57,0,318,1,2.52%,0.98%,1.40%,0.00%,2.20%,0.62%,346,1,77,0,423,1,2.53%,0.78%,1.48%,2.24%,0.49%,100.00%,100.00%,13,0,4.09%,0.00%,US$389.87,US$0.00,12,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,226,1,41,2,267,3,2.18%,0.98%,1.00%,3.39%,1.85%,1.86%,300,1,54,2,354,3,2.19%,0.78%,1.04%,1.87%,1.46%,100.00%,100.00%,11,0,4.12%,0.00%,US$329.89,US$0.00,11,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,337,3,172,3,509,6,3.25%,2.94%,4.21%,5.08%,3.52%,3.73%,433,3,230,6,663,9,3.16%,2.33%,4.43%,3.51%,4.37%,99.40%,100.00%,11,1,2.16%,16.67%,US$725.89,US$65.99,11,1
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,303,1,85,2,388,3,2.92%,0.98%,2.08%,3.39%,2.68%,1.86%,374,1,107,3,481,4,2.73%,0.78%,2.06%,2.55%,1.94%,99.38%,100.00%,11,0,2.84%,0.00%,US$329.89,US$0.00,10,0
B092VTVKZ7,B09NQ3ST6Z,"UOZZI BEDDING 4 Pieces White Girls Toddler Bedding Set Purple Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-168,141,1,27,0,168,1,1.36%,0.98%,0.66%,0.00%,1.16%,0.62%,176,1,34,0,210,1,1.29%,0.78%,0.65%,1.11%,0.49%,99.52%,100.00%,10,0,5.95%,0.00%,US$299.90,US$0.00,10,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,157,2,35,1,192,3,1.51%,1.96%,0.86%,1.69%,1.33%,1.86%,226,3,54,1,280,4,1.65%,2.33%,1.04%,1.48%,1.94%,100.00%,100.00%,11,0,5.73%,0.00%,US$549.89,US$0.00,9,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,314,3,115,2,429,5,3.03%,2.94%,2.82%,3.39%,2.97%,3.11%,431,3,171,3,602,6,3.15%,2.33%,3.29%,3.19%,2.91%,99.83%,100.00%,9,0,2.10%,0.00%,US$629.91,US$0.00,9,0
B08XXHWMH7,B09155KNZY,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray Branch Queen Full Size 88x88 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season (1 Quilt+ 2 Shams),UQT110-Q,213,1,118,2,331,3,2.05%,0.98%,2.89%,3.39%,2.29%,1.86%,322,2,152,2,474,4,2.35%,1.55%,2.92%,2.51%,1.94%,100.00%,100.00%,10,0,3.02%,0.00%,US$399.90,US$0.00,9,0
B09YM4LNS6,B09YM5XT7Y,"4 Pieces Pink Toddler Bedding Set with Ruffle Fringe, Solid Color Toddler Bed Set - 1 Toddler Comforter + 1 Fitted Sheet +1 Flat Sheet +1 Pillowcase for Baby Boys and Girls",UTBS-CSHB-02,94,0,15,0,109,0,0.91%,0.00%,0.37%,0.00%,0.75%,0.00%,125,0,23,0,148,0,0.91%,0.00%,0.44%,0.78%,0.00%,100.00%,0.00%,12,0,11.01%,0.00%,US$395.88,US$0.00,9,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,68,1,17,0,85,1,0.66%,0.98%,0.42%,0.00%,0.59%,0.62%,85,1,18,0,103,1,0.62%,0.78%,0.35%,0.55%,0.49%,100.00%,100.00%,8,0,9.41%,0.00%,US$239.92,US$0.00,8,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,191,2,60,2,251,4,1.84%,1.96%,1.47%,3.39%,1.74%,2.48%,226,2,77,2,303,4,1.65%,1.55%,1.48%,1.60%,1.94%,99.34%,100.00%,8,0,3.19%,0.00%,US$239.92,US$0.00,8,0
B092LX5PDW,B09KXL7TTG,UOZZI BEDDING Cream White Bed in a Bag King 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-K,142,1,60,3,202,4,1.37%,0.98%,1.47%,5.08%,1.40%,2.48%,193,1,87,5,280,6,1.41%,0.78%,1.67%,1.48%,2.91%,100.00%,100.00%,8,0,3.96%,0.00%,US$475.93,US$0.00,8,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,482,2,153,3,635,5,4.65%,1.96%,3.75%,5.08%,4.39%,3.11%,629,9,188,4,817,13,4.59%,6.98%,3.62%,4.33%,6.31%,99.88%,100.00%,7,0,1.10%,0.00%,US$419.86,US$0.00,7,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,107,1,63,0,170,1,1.03%,0.98%,1.54%,0.00%,1.18%,0.62%,150,1,80,0,230,1,1.10%,0.78%,1.54%,1.22%,0.49%,99.57%,100.00%,6,0,3.53%,0.00%,US$257.94,US$0.00,6,0
B08XXHWMH7,B0914ZJQ8D,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray Branch King Size 102x88 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season (1 Quilt+ 2 Shams),UQT110-K,96,4,54,0,150,4,0.93%,3.92%,1.32%,0.00%,1.04%,2.48%,135,8,77,0,212,8,0.99%,6.20%,1.48%,1.12%,3.88%,99.53%,100.00%,7,0,4.67%,0.00%,US$314.93,US$0.00,6,0
B08D6LSCQ7,B07JGWLX2Q,"3 Piece Duvet Cover Set Queen (1 All Season Design Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots, 800 - TC Comforter Cover with Zipper Closure, 4 Corner Ties - Pink Gray Yellow Circles",BTN38-Q,88,1,47,2,135,3,0.85%,0.98%,1.15%,3.39%,0.93%,1.86%,124,1,58,4,182,5,0.91%,0.78%,1.12%,0.96%,2.43%,100.00%,100.00%,5,0,3.70%,0.00%,US$139.95,US$0.00,5,0
B07NW55BDC,B07NW47G7N,"UOZZI BEDDING All-Season Bright Pink Flannel Fleece Baby Small Blanket for Girls - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, Size 27""x39""",TZK21-70,54,0,18,0,72,0,0.52%,0.00%,0.44%,0.00%,0.50%,0.00%,80,0,24,0,104,0,0.58%,0.00%,0.46%,0.55%,0.00%,100.00%,0.00%,6,0,8.33%,0.00%,US$53.94,US$0.00,5,0
B07NW55BDC,B07NW5H492,"UOZZI BEDDING All-Season Teal (Light Blue) Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK24-70,63,2,17,0,80,2,0.61%,1.96%,0.42%,0.00%,0.55%,1.24%,89,2,26,0,115,2,0.65%,1.55%,0.50%,0.61%,0.97%,100.00%,100.00%,5,0,6.25%,0.00%,US$44.95,US$0.00,5,0
B08K767M5V,B091BSCFSV,Pink Floral Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Green Flower Microfiber Reversible Bedding Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG129-Q,211,3,67,1,278,4,2.03%,2.94%,1.64%,1.69%,1.92%,2.48%,248,3,73,1,321,4,1.81%,2.33%,1.40%,1.70%,1.94%,99.69%,100.00%,5,0,1.80%,0.00%,US$294.95,US$0.00,5,0
B08LY9MZ1Y,B091BSJFDV,"UOZZI BEDDING Kids Girls Bed in a Bag 7 Pieces Queen Size Unicorn Pink Comforter Set - (1 Soft Microfiber, Reversible Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG122-Q,115,1,25,0,140,1,1.11%,0.98%,0.61%,0.00%,0.97%,0.62%,168,2,28,0,196,2,1.23%,1.55%,0.54%,1.04%,0.97%,100.00%,100.00%,5,0,3.57%,0.00%,US$299.95,US$0.00,5,0
B08D6LSCQ7,B07M773C9S,3 Piece Duvet Cover Set Twin (1 Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots 800 - TC Comforter Cover with Zipper Closure 4 Corner Ties Pink Gray Yellow Circles for Teen Girls,BTN38-T,46,0,25,1,71,1,0.44%,0.00%,0.61%,1.69%,0.49%,0.62%,67,0,30,2,97,2,0.49%,0.00%,0.58%,0.51%,0.97%,100.00%,100.00%,6,0,8.45%,0.00%,US$149.94,US$0.00,4,0
B08DXYYPHT,B07QYV47W2,UOZZI BEDDING 2 Piece Reversible Kids Quilt Set Twin Size 68x86 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season Colorful Dots (1 Quilt + 1 Shams),UQT38-T,55,0,41,0,96,0,0.53%,0.00%,1.00%,0.00%,0.66%,0.00%,78,0,52,0,130,0,0.57%,0.00%,1.00%,0.69%,0.00%,100.00%,0.00%,6,0,6.25%,0.00%,US$227.94,US$0.00,4,0
B09QC6HXD3,B07V5VMGXY,"Boys Space Planet Toddler Bedding Set Gray-Green Includes Adorable Quilted Comforter, Fitted Sheet, Top Sheet, and Pillow Case for Boys Bed",UTBS70,40,0,9,0,49,0,0.39%,0.00%,0.22%,0.00%,0.34%,0.00%,56,0,11,0,67,0,0.41%,0.00%,0.21%,0.35%,0.00%,100.00%,0.00%,4,0,8.16%,0.00%,US$119.96,US$0.00,4,0
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,98,2,39,0,137,2,0.94%,1.96%,0.96%,0.00%,0.95%,1.24%,140,2,52,0,192,2,1.02%,1.55%,1.00%,1.02%,0.97%,100.00%,100.00%,4,0,2.92%,0.00%,US$179.96,US$0.00,4,0
B08K767M5V,B08CVS7G7W,"7 Pieces Comforter Sheet Set King Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-K,135,4,57,0,192,4,1.30%,3.92%,1.40%,0.00%,1.33%,2.48%,164,4,66,0,230,4,1.20%,3.10%,1.27%,1.22%,1.94%,100.00%,100.00%,4,0,2.08%,0.00%,US$263.96,US$0.00,4,0
B08HV2DGDW,B08HLWJNZN,"Gray Faux Fur Comforter Set Full/Queen 3 Pieces - 1 Shaggy Comforter 90x90 and 2 Fur Pillowcases, Ultra Soft and Easy Care Sherpa Luxury Plush Super Warm Winter Shaggy Bedding Set",CMRCBZ01-Q,230,1,87,2,317,3,2.22%,0.98%,2.13%,3.39%,2.19%,1.86%,301,1,104,3,405,4,2.20%,0.78%,2.00%,2.14%,1.94%,99.75%,100.00%,4,0,1.26%,0.00%,US$303.96,US$0.00,4,0
