（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,287,0,101,1,388,1,3.49%,0.00%,2.76%,2.44%,3.27%,0.79%,354,0,134,2,488,2,3.31%,0.00%,2.87%,3.17%,1.24%,100.00%,100.00%,14,0,3.61%,0.00%,US$507.86,US$0.00,14,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,427,2,161,1,588,3,5.19%,2.33%,4.40%,2.44%,4.95%,2.36%,599,2,213,5,812,7,5.60%,1.92%,4.56%,5.28%,4.35%,99.38%,100.00%,13,0,2.21%,0.00%,US$467.87,US$0.00,13,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,236,2,64,3,300,5,2.87%,2.33%,1.75%,7.32%,2.52%,3.94%,281,2,78,3,359,5,2.63%,1.92%,1.67%,2.34%,3.11%,99.44%,100.00%,11,0,3.67%,0.00%,US$299.90,US$0.00,11,0
B09QBX987B,B0BGHNFH2V,UOZZI BEDDING Floral Comforter Sheet Set 7 Pieces Bed in a Bag Dark Grey Golden Flower Queen Size (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG210-Q,135,0,53,2,188,2,1.64%,0.00%,1.45%,4.88%,1.58%,1.57%,236,0,86,2,322,2,2.20%,0.00%,1.84%,2.09%,1.24%,100.00%,100.00%,12,1,6.38%,50.00%,US$419.88,US$34.99,11,1
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,206,0,81,0,287,0,2.51%,0.00%,2.21%,0.00%,2.42%,0.00%,262,0,103,0,365,0,2.45%,0.00%,2.21%,2.37%,0.00%,99.18%,0.00%,9,0,3.14%,0.00%,US$361.11,US$0.00,9,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,256,2,109,1,365,3,3.11%,2.33%,2.98%,2.44%,3.07%,2.36%,342,2,142,3,484,5,3.20%,1.92%,3.04%,3.15%,3.11%,100.00%,100.00%,7,0,1.92%,0.00%,US$349.95,US$0.00,7,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,599,10,260,0,859,10,7.29%,11.63%,7.10%,0.00%,7.23%,7.87%,786,13,392,0,"1,178",13,7.34%,12.50%,8.39%,7.66%,8.07%,99.92%,100.00%,7,0,0.81%,0.00%,US$419.86,US$0.00,7,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,275,3,157,0,432,3,3.34%,3.49%,4.29%,0.00%,3.64%,2.36%,353,4,182,0,535,4,3.30%,3.85%,3.90%,3.48%,2.48%,100.00%,100.00%,7,0,1.62%,0.00%,US$461.93,US$0.00,7,0
B08D6LSCQ7,B07JGWLX2Q,"3 Piece Duvet Cover Set Queen (1 All Season Design Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots, 800 - TC Comforter Cover with Zipper Closure, 4 Corner Ties - Pink Gray Yellow Circles",BTN38-Q,111,3,46,2,157,5,1.35%,3.49%,1.26%,4.88%,1.32%,3.94%,151,3,59,3,210,6,1.41%,2.88%,1.26%,1.37%,3.73%,100.00%,100.00%,6,0,3.82%,0.00%,US$155.94,US$0.00,6,0
B07NW55BDC,B07NW5H492,"UOZZI BEDDING All-Season Teal (Light Blue) Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK24-70,50,1,14,2,64,3,0.61%,1.16%,0.38%,4.88%,0.54%,2.36%,66,1,19,2,85,3,0.62%,0.96%,0.41%,0.55%,1.86%,100.00%,100.00%,7,0,10.94%,0.00%,US$62.93,US$0.00,6,0
