（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,444,4,203,7,647,11,5.63%,4.71%,5.74%,10.29%,5.66%,7.19%,598,10,310,9,908,19,5.83%,9.09%,6.74%,6.12%,10.05%,99.34%,100.00%,24,0,3.71%,0.00%,US$875.76,US$0.00,23,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,92,0,29,0,121,0,1.17%,0.00%,0.82%,0.00%,1.06%,0.00%,119,0,37,0,156,0,1.16%,0.00%,0.80%,1.05%,0.00%,99.36%,0.00%,12,1,9.92%,0.00%,US$335.88,US$27.99,12,1
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,200,0,131,0,331,0,2.54%,0.00%,3.70%,0.00%,2.90%,0.00%,277,0,188,0,465,0,2.70%,0.00%,4.09%,3.13%,0.00%,99.78%,0.00%,11,0,3.32%,0.00%,US$434.19,US$0.00,11,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,211,2,83,0,294,2,2.68%,2.35%,2.35%,0.00%,2.57%,1.31%,301,4,112,0,413,4,2.94%,3.64%,2.44%,2.78%,2.12%,100.00%,100.00%,11,0,3.74%,0.00%,US$699.89,US$0.00,11,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,274,4,127,3,401,7,3.48%,4.71%,3.59%,4.41%,3.51%,4.58%,333,5,154,4,487,9,3.25%,4.55%,3.35%,3.28%,4.76%,99.59%,100.00%,11,0,2.74%,0.00%,US$659.89,US$0.00,11,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,547,3,237,6,784,9,6.94%,3.53%,6.70%,8.82%,6.86%,5.88%,741,6,352,6,"1,093",12,7.23%,5.45%,7.66%,7.36%,6.35%,99.73%,100.00%,10,0,1.28%,0.00%,US$545.80,US$0.00,10,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,260,4,138,3,398,7,3.30%,4.71%,3.90%,4.41%,3.48%,4.58%,341,6,183,4,524,10,3.33%,5.45%,3.98%,3.53%,5.29%,99.81%,100.00%,8,0,2.01%,0.00%,US$287.92,US$0.00,8,0
B091Y38CV7,B08PNWDSSQ,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Gray",UTBS-02,103,2,24,0,127,2,1.31%,2.35%,0.68%,0.00%,1.11%,1.31%,150,2,33,0,183,2,1.46%,1.82%,0.72%,1.23%,1.06%,100.00%,100.00%,7,0,5.51%,0.00%,US$188.93,US$0.00,7,0
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,209,2,109,0,318,2,2.65%,2.35%,3.08%,0.00%,2.78%,1.31%,269,2,140,0,409,2,2.62%,1.82%,3.04%,2.75%,1.06%,99.51%,100.00%,6,0,1.89%,0.00%,US$236.44,US$0.00,6,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,259,1,92,2,351,3,3.29%,1.18%,2.60%,2.94%,3.07%,1.96%,361,1,127,2,488,3,3.52%,0.91%,2.76%,3.29%,1.59%,99.18%,66.67%,6,0,1.71%,0.00%,US$359.88,US$0.00,6,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,198,1,43,3,241,4,2.51%,1.18%,1.22%,4.41%,2.11%,2.61%,264,2,66,4,330,6,2.58%,1.82%,1.44%,2.22%,3.17%,100.00%,66.67%,7,0,2.90%,0.00%,US$244.93,US$0.00,6,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,126,2,50,1,176,3,1.60%,2.35%,1.41%,1.47%,1.54%,1.96%,172,2,54,1,226,3,1.68%,1.82%,1.17%,1.52%,1.59%,99.12%,100.00%,6,0,3.41%,0.00%,US$179.94,US$0.00,6,0
B0BRN8J9X9,B099MY6VVH,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Pink,UCBS-03,96,1,42,1,138,2,1.22%,1.18%,1.19%,1.47%,1.21%,1.31%,121,1,45,1,166,2,1.18%,0.91%,0.98%,1.12%,1.06%,100.00%,100.00%,7,2,5.07%,100.00%,US$179.94,US$59.98,6,1
B0B92QC3D8,B09V6RYZWG,Flower Comforter Sheet Set Gray Bed in a Bag 7 Pieces Queen Size Pink White Floral Microfiber Reversible Bedding Set (1 Comforter 2 Pillow Shams 1 Pink Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG186-Q,106,1,37,0,143,1,1.34%,1.18%,1.05%,0.00%,1.25%,0.65%,156,1,51,0,207,1,1.52%,0.91%,1.11%,1.39%,0.53%,100.00%,100.00%,6,0,4.20%,0.00%,US$359.94,US$0.00,6,0
