（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,615,4,282,4,897,8,6.70%,5.48%,7.84%,6.15%,7.02%,5.80%,854,4,409,7,"1,263",11,7.08%,4.17%,9.06%,7.62%,5.95%,99.76%,100.00%,18,0,2.01%,0.00%,"US$1,079.64",US$0.00,18,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,226,2,75,1,301,3,2.46%,2.74%,2.09%,1.54%,2.36%,2.17%,293,5,87,1,380,6,2.43%,5.21%,1.93%,2.29%,3.24%,98.95%,100.00%,17,0,5.65%,0.00%,US$509.83,US$0.00,17,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,440,4,148,1,588,5,4.79%,5.48%,4.12%,1.54%,4.60%,3.62%,586,8,181,1,767,9,4.86%,8.33%,4.01%,4.63%,4.86%,99.74%,100.00%,15,0,2.55%,0.00%,US$899.70,US$0.00,15,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,304,3,71,2,375,5,3.31%,4.11%,1.97%,3.08%,2.94%,3.62%,459,4,99,2,558,6,3.81%,4.17%,2.19%,3.37%,3.24%,100.00%,100.00%,13,1,3.47%,20.00%,US$389.87,US$29.99,12,1
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,299,4,52,1,351,5,3.26%,5.48%,1.45%,1.54%,2.75%,3.62%,425,5,72,2,497,7,3.52%,5.21%,1.60%,3.00%,3.78%,100.00%,100.00%,11,1,3.13%,20.00%,US$329.89,US$29.99,11,1
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,128,1,47,2,175,3,1.39%,1.37%,1.31%,3.08%,1.37%,2.17%,184,1,67,3,251,4,1.53%,1.04%,1.48%,1.51%,2.16%,100.00%,100.00%,12,1,6.86%,33.33%,US$599.88,US$49.99,11,1
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,259,4,96,2,355,6,2.82%,5.48%,2.67%,3.08%,2.78%,4.35%,347,4,118,2,465,6,2.88%,4.17%,2.61%,2.81%,3.24%,100.00%,100.00%,11,0,3.10%,0.00%,US$769.89,US$0.00,11,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,243,3,37,1,280,4,2.65%,4.11%,1.03%,1.54%,2.19%,2.90%,348,4,51,2,399,6,2.89%,4.17%,1.13%,2.41%,3.24%,99.00%,100.00%,10,2,3.57%,50.00%,US$299.90,US$59.98,9,1
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,267,1,139,1,406,2,2.91%,1.37%,3.87%,1.54%,3.18%,1.45%,346,1,177,1,523,2,2.87%,1.04%,3.92%,3.16%,1.08%,99.62%,100.00%,9,0,2.22%,0.00%,US$593.91,US$0.00,9,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,83,0,26,0,109,0,0.90%,0.00%,0.72%,0.00%,0.85%,0.00%,114,0,33,0,147,0,0.95%,0.00%,0.73%,0.89%,0.00%,100.00%,0.00%,8,0,7.34%,0.00%,US$239.92,US$0.00,8,0
