（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,503,1,161,2,664,3,4.34%,0.92%,3.93%,3.03%,4.23%,1.71%,665,2,199,4,864,6,4.38%,1.38%,3.89%,4.26%,2.63%,100.00%,100.00%,18,0,2.71%,0.00%,"US$1,079.64",US$0.00,18,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,295,2,45,0,340,2,2.54%,1.83%,1.10%,0.00%,2.17%,1.14%,430,2,56,0,486,2,2.83%,1.38%,1.10%,2.39%,0.88%,99.59%,100.00%,17,0,5.00%,0.00%,US$509.83,US$0.00,17,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,385,5,55,1,440,6,3.32%,4.59%,1.34%,1.52%,2.80%,3.43%,550,5,78,1,628,6,3.62%,3.45%,1.53%,3.09%,2.63%,99.84%,100.00%,18,0,4.09%,0.00%,US$539.82,US$0.00,15,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,820,4,324,1,"1,144",5,7.07%,3.67%,7.92%,1.52%,7.29%,2.86%,"1,103",8,416,1,"1,519",9,7.26%,5.52%,8.13%,7.48%,3.95%,99.54%,100.00%,14,0,1.22%,0.00%,US$779.74,US$0.00,14,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,366,3,160,2,526,5,3.16%,2.75%,3.91%,3.03%,3.35%,2.86%,446,3,199,2,645,5,2.94%,2.07%,3.89%,3.18%,2.19%,99.84%,100.00%,12,1,2.28%,20.00%,US$791.88,US$65.99,12,1
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,309,1,93,3,402,4,2.67%,0.92%,2.27%,4.55%,2.56%,2.29%,393,2,111,4,504,6,2.59%,1.38%,2.17%,2.48%,2.63%,99.21%,100.00%,11,0,2.74%,0.00%,US$329.89,US$0.00,11,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,324,4,51,0,375,4,2.79%,3.67%,1.25%,0.00%,2.39%,2.29%,453,5,63,0,516,5,2.98%,3.45%,1.23%,2.54%,2.19%,99.61%,100.00%,10,0,2.67%,0.00%,US$299.90,US$0.00,10,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,179,0,69,0,248,0,1.54%,0.00%,1.69%,0.00%,1.58%,0.00%,248,0,94,0,342,0,1.63%,0.00%,1.84%,1.68%,0.00%,100.00%,0.00%,9,0,3.63%,0.00%,US$449.91,US$0.00,9,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,346,8,134,3,480,11,2.98%,7.34%,3.27%,4.55%,3.06%,6.29%,482,12,169,5,651,17,3.17%,8.28%,3.30%,3.21%,7.46%,99.69%,100.00%,9,1,1.88%,9.09%,US$629.91,US$69.99,9,1
B08XXHWMH7,B09155KNZY,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray Branch Queen Full Size 88x88 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season (1 Quilt+ 2 Shams),UQT110-Q,203,2,101,3,304,5,1.75%,1.83%,2.47%,4.55%,1.94%,2.86%,280,3,134,4,414,7,1.84%,2.07%,2.62%,2.04%,3.07%,99.03%,100.00%,8,0,2.63%,0.00%,US$319.92,US$0.00,8,0
B092VTVKZ7,B09NQ3ST6Z,"UOZZI BEDDING 4 Pieces White Girls Toddler Bedding Set Purple Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-168,187,1,25,0,212,1,1.61%,0.92%,0.61%,0.00%,1.35%,0.57%,244,2,29,0,273,2,1.61%,1.38%,0.57%,1.34%,0.88%,100.00%,100.00%,8,0,3.77%,0.00%,US$239.92,US$0.00,8,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,316,3,127,1,443,4,2.73%,2.75%,3.10%,1.52%,2.82%,2.29%,611,4,204,2,815,6,4.02%,2.76%,3.99%,4.01%,2.63%,75.46%,83.33%,7,0,1.58%,0.00%,US$279.93,US$0.00,7,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,214,6,58,2,272,8,1.85%,5.50%,1.42%,3.03%,1.73%,4.57%,254,6,79,2,333,8,1.67%,4.14%,1.54%,1.64%,3.51%,98.80%,100.00%,7,0,2.57%,0.00%,US$209.93,US$0.00,7,0
