（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,268,3,77,0,345,3,2.95%,3.80%,2.07%,0.00%,2.69%,1.68%,378,7,103,0,481,7,3.14%,6.25%,2.13%,2.85%,2.82%,100.00%,100.00%,18,0,5.22%,0.00%,US$539.82,US$0.00,18,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,603,2,261,6,864,8,6.63%,2.53%,7.03%,6.00%,6.74%,4.47%,844,2,379,10,"1,223",12,7.02%,1.79%,7.83%,7.25%,4.84%,99.92%,100.00%,18,0,2.08%,0.00%,"US$1,019.66",US$0.00,18,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,214,1,67,2,281,3,2.35%,1.27%,1.80%,2.00%,2.19%,1.68%,321,1,98,2,419,3,2.67%,0.89%,2.03%,2.48%,1.21%,100.00%,66.67%,18,1,6.41%,33.33%,US$539.82,US$29.99,18,1
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,389,5,133,2,522,7,4.27%,6.33%,3.58%,2.00%,4.07%,3.91%,520,6,159,5,679,11,4.32%,5.36%,3.29%,4.03%,4.44%,99.85%,100.00%,15,0,2.87%,0.00%,US$899.70,US$0.00,15,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,317,2,134,2,451,4,3.48%,2.53%,3.61%,2.00%,3.52%,2.23%,437,2,202,2,639,4,3.63%,1.79%,4.18%,3.79%,1.61%,100.00%,100.00%,14,2,3.10%,50.00%,US$923.86,US$131.98,14,2
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,262,3,101,1,363,4,2.88%,3.80%,2.72%,1.00%,2.83%,2.23%,364,4,140,2,504,6,3.03%,3.57%,2.89%,2.99%,2.42%,100.00%,100.00%,11,0,3.03%,0.00%,US$769.89,US$0.00,11,0
B091Y38CV7,B08PNWDSSQ,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Gray",UTBS-02,105,1,27,0,132,1,1.15%,1.27%,0.73%,0.00%,1.03%,0.56%,135,5,35,0,170,5,1.12%,4.46%,0.72%,1.01%,2.02%,100.00%,100.00%,12,0,9.09%,0.00%,US$323.88,US$0.00,10,0
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,65,0,43,0,108,0,0.71%,0.00%,1.16%,0.00%,0.84%,0.00%,97,0,75,0,172,0,0.81%,0.00%,1.55%,1.02%,0.00%,100.00%,0.00%,9,0,8.33%,0.00%,US$404.91,US$0.00,9,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,337,9,58,2,395,11,3.70%,11.39%,1.56%,2.00%,3.08%,6.15%,462,11,75,2,537,13,3.84%,9.82%,1.55%,3.18%,5.24%,99.81%,100.00%,10,0,2.53%,0.00%,US$299.90,US$0.00,9,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,183,2,64,1,247,3,2.01%,2.53%,1.72%,1.00%,1.93%,1.68%,238,2,81,1,319,3,1.98%,1.79%,1.67%,1.89%,1.21%,99.69%,100.00%,9,0,3.64%,0.00%,US$269.91,US$0.00,9,0
B09YM4LNS6,B09YM5XT7Y,"4 Pieces Pink Toddler Bedding Set with Ruffle Fringe, Solid Color Toddler Bed Set - 1 Toddler Comforter + 1 Fitted Sheet +1 Flat Sheet +1 Pillowcase for Baby Boys and Girls",UTBS-CSHB-02,90,0,24,0,114,0,0.99%,0.00%,0.65%,0.00%,0.89%,0.00%,122,0,28,0,150,0,1.01%,0.00%,0.58%,0.89%,0.00%,100.00%,0.00%,9,0,7.89%,0.00%,US$296.91,US$0.00,9,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,228,2,113,7,341,9,2.51%,2.53%,3.04%,7.00%,2.66%,5.03%,440,3,189,16,629,19,3.66%,2.68%,3.91%,3.73%,7.66%,75.83%,73.68%,7,0,2.05%,0.00%,US$279.93,US$0.00,7,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,87,2,19,1,106,3,0.96%,2.53%,0.51%,1.00%,0.83%,1.68%,114,3,25,1,139,4,0.95%,2.68%,0.52%,0.82%,1.61%,97.84%,100.00%,7,1,6.60%,33.33%,US$209.93,US$29.99,7,1
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,258,1,88,3,346,4,2.84%,1.27%,2.37%,3.00%,2.70%,2.23%,306,2,106,4,412,6,2.54%,1.79%,2.19%,2.44%,2.42%,99.27%,100.00%,7,0,2.02%,0.00%,US$209.93,US$0.00,7,0
B07NW55BDC,B07NW47G7N,"UOZZI BEDDING All-Season Bright Pink Flannel Fleece Baby Small Blanket for Girls - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, Size 27""x39""",TZK21-70,42,1,21,0,63,1,0.46%,1.27%,0.57%,0.00%,0.49%,0.56%,54,1,27,0,81,1,0.45%,0.89%,0.56%,0.48%,0.40%,100.00%,100.00%,6,0,9.52%,0.00%,US$53.94,US$0.00,5,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,121,3,48,1,169,4,1.33%,3.80%,1.29%,1.00%,1.32%,2.23%,159,3,63,1,222,4,1.32%,2.68%,1.30%,1.32%,1.61%,100.00%,100.00%,5,1,2.96%,25.00%,US$249.95,US$49.99,5,1
B092LX5PDW,B08XVR2FF1,Burgundy Red Comforter Sheet Set 7 Pieces Christmas Bed in a Bag Queen Size All Season Tree Branch Soft Microfiber Bedding Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG01-QN,181,0,78,0,259,0,1.99%,0.00%,2.10%,0.00%,2.02%,0.00%,205,0,90,0,295,0,1.70%,0.00%,1.86%,1.75%,0.00%,100.00%,0.00%,5,0,1.93%,0.00%,US$299.95,US$0.00,5,0
B08LY9MZ1Y,B091BSJFDV,"UOZZI BEDDING Kids Girls Bed in a Bag 7 Pieces Queen Size Unicorn Pink Comforter Set - (1 Soft Microfiber, Reversible Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG122-Q,84,2,37,0,121,2,0.92%,2.53%,1.00%,0.00%,0.94%,1.12%,134,6,68,0,202,6,1.11%,5.36%,1.41%,1.20%,2.42%,98.51%,100.00%,6,0,4.96%,0.00%,US$299.95,US$0.00,5,0
B0BRN8J9X9,B099MY6VVH,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Pink,UCBS-03,119,2,39,0,158,2,1.31%,2.53%,1.05%,0.00%,1.23%,1.12%,150,2,46,0,196,2,1.25%,1.79%,0.95%,1.16%,0.81%,100.00%,100.00%,5,0,3.16%,0.00%,US$149.95,US$0.00,5,0
B092VTVKZ7,B09NQ3ST6Z,"UOZZI BEDDING 4 Pieces White Girls Toddler Bedding Set Purple Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-168,139,1,18,0,157,1,1.53%,1.27%,0.48%,0.00%,1.23%,0.56%,165,1,25,0,190,1,1.37%,0.89%,0.52%,1.13%,0.40%,100.00%,100.00%,5,0,3.18%,0.00%,US$149.95,US$0.00,5,0
B094QRWNTJ,B09VC678PS,"100% Cotton 4 Pieces Cars Toddler Bedding Set with Colorful Cars House Cloud Rainbow Includes Adorable Quilted White Comforter, Blue Fitted Sheet, Top Sheet, and Pillow Case for Boys Girls",UCMTBS-09,46,0,14,1,60,1,0.51%,0.00%,0.38%,1.00%,0.47%,0.56%,69,0,21,1,90,1,0.57%,0.00%,0.43%,0.53%,0.40%,100.00%,100.00%,5,0,8.33%,0.00%,US$224.95,US$0.00,5,0
B092LX5PDW,B0B7J5PNSW,Green Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Reversible Bedding Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 White Fitted Sheet 2 Pillowcases),UZBIG196-Q,208,1,92,4,300,5,2.29%,1.27%,2.48%,4.00%,2.34%,2.79%,250,2,108,4,358,6,2.08%,1.79%,2.23%,2.12%,2.42%,99.72%,100.00%,5,0,1.67%,0.00%,US$299.95,US$0.00,5,0
B07NW55BDC,B07NW5H492,"UOZZI BEDDING All-Season Teal (Light Blue) Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK24-70,68,2,24,0,92,2,0.75%,2.53%,0.65%,0.00%,0.72%,1.12%,97,2,28,0,125,2,0.81%,1.79%,0.58%,0.74%,0.81%,100.00%,100.00%,4,0,4.35%,0.00%,US$35.96,US$0.00,4,0
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,102,1,55,1,157,2,1.12%,1.27%,1.48%,1.00%,1.23%,1.12%,130,1,70,1,200,2,1.08%,0.89%,1.45%,1.19%,0.81%,99.50%,100.00%,4,0,2.55%,0.00%,US$171.96,US$0.00,4,0
B08D3DNTBX,B07TYLTKSS,Colorful Dots Comforter Set Queen Size Pink Yellow Gray Blue Circles Print Reversible Down Alternative 800 TC Adult Teen Summer Duvet Sets 1 Winter Microfiber Comforter with 2 Pillow Shams,UZBZ38-Q,49,0,26,2,75,2,0.54%,0.00%,0.70%,2.00%,0.59%,1.12%,73,0,35,6,108,6,0.61%,0.00%,0.72%,0.64%,2.42%,100.00%,100.00%,4,1,5.33%,50.00%,US$183.96,US$45.99,4,1
B08D3DNTBX,B07TYNNN74,UOZZI BEDDING Colorful Dots Comforter Set Twin Size Pink Yellow Gray Blue Circles Print Reversible Down Alternative 800 TC Kids Girls Teen Duvet Sets 1 Microfiber Comforter with 2 Pillow Shams,UZBZ38-T,48,0,19,1,67,1,0.53%,0.00%,0.51%,1.00%,0.52%,0.56%,59,0,23,2,82,2,0.49%,0.00%,0.48%,0.49%,0.81%,100.00%,100.00%,4,0,5.97%,0.00%,US$155.96,US$0.00,4,0
