（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,617,3,262,7,879,10,7.57%,4.35%,7.93%,10.77%,7.68%,7.46%,845,3,362,9,"1,207",12,7.89%,3.26%,8.45%,8.05%,6.45%,99.83%,100.00%,20,0,2.28%,0.00%,"US$1,199.60",US$0.00,20,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,329,2,78,2,407,4,4.04%,2.90%,2.36%,3.08%,3.55%,2.99%,479,2,115,2,594,4,4.47%,2.17%,2.68%,3.96%,2.15%,100.00%,100.00%,14,0,3.44%,0.00%,US$419.86,US$0.00,13,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,374,3,119,3,493,6,4.59%,4.35%,3.60%,4.62%,4.30%,4.48%,515,3,149,3,664,6,4.81%,3.26%,3.48%,4.43%,3.23%,100.00%,100.00%,9,0,1.83%,0.00%,US$539.82,US$0.00,9,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,290,2,128,2,418,4,3.56%,2.90%,3.87%,3.08%,3.65%,2.99%,390,3,193,11,583,14,3.64%,3.26%,4.50%,3.89%,7.53%,100.00%,100.00%,8,0,1.91%,0.00%,US$319.92,US$0.00,8,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,219,0,36,1,255,1,2.69%,0.00%,1.09%,1.54%,2.23%,0.75%,309,0,57,1,366,1,2.89%,0.00%,1.33%,2.44%,0.54%,100.00%,100.00%,7,0,2.75%,0.00%,US$244.93,US$0.00,7,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,106,0,66,1,172,1,1.30%,0.00%,2.00%,1.54%,1.50%,0.75%,142,0,91,5,233,5,1.33%,0.00%,2.12%,1.55%,2.69%,100.00%,100.00%,9,1,5.23%,100.00%,US$359.91,US$39.99,7,1
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,180,1,30,1,210,2,2.21%,1.45%,0.91%,1.54%,1.83%,1.49%,278,1,38,2,316,3,2.60%,1.09%,0.89%,2.11%,1.61%,100.00%,100.00%,7,0,3.33%,0.00%,US$239.93,US$0.00,7,0
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,106,0,51,1,157,1,1.30%,0.00%,1.54%,1.54%,1.37%,0.75%,152,0,73,1,225,1,1.42%,0.00%,1.70%,1.50%,0.54%,99.56%,100.00%,6,0,3.82%,0.00%,US$257.94,US$0.00,6,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,107,1,51,4,158,5,1.31%,1.45%,1.54%,6.15%,1.38%,3.73%,152,1,68,5,220,6,1.42%,1.09%,1.59%,1.47%,3.23%,99.55%,100.00%,7,0,4.43%,0.00%,US$349.93,US$0.00,6,0
B091Y38CV7,B08PNWDSSQ,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Gray",UTBS-02,65,1,17,2,82,3,0.80%,1.45%,0.51%,3.08%,0.72%,2.24%,84,1,20,2,104,3,0.78%,1.09%,0.47%,0.69%,1.61%,100.00%,100.00%,7,0,8.54%,0.00%,US$188.93,US$0.00,6,0
B08LY9MZ1Y,B091BSJFDV,"UOZZI BEDDING Kids Girls Bed in a Bag 7 Pieces Queen Size Unicorn Pink Comforter Set - (1 Soft Microfiber, Reversible Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG122-Q,96,2,23,0,119,2,1.18%,2.90%,0.70%,0.00%,1.04%,1.49%,153,3,37,0,190,3,1.43%,3.26%,0.86%,1.27%,1.61%,99.47%,100.00%,6,0,5.04%,0.00%,US$359.94,US$0.00,6,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,272,3,85,2,357,5,3.34%,4.35%,2.57%,3.08%,3.12%,3.73%,365,3,110,2,475,5,3.41%,3.26%,2.57%,3.17%,2.69%,96.63%,100.00%,7,0,1.96%,0.00%,US$209.93,US$0.00,6,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,163,3,70,1,233,4,2.00%,4.35%,2.12%,1.54%,2.03%,2.99%,209,3,90,1,299,4,1.95%,3.26%,2.10%,1.99%,2.15%,98.66%,100.00%,6,1,2.58%,25.00%,US$179.94,US$29.99,6,1
