（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,371,5,152,4,523,9,4.47%,5.95%,4.28%,7.84%,4.41%,6.67%,483,6,195,4,678,10,4.51%,5.94%,4.32%,4.45%,6.13%,99.56%,100.00%,14,0,2.68%,0.00%,US$779.74,US$0.00,14,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,171,3,74,1,245,4,2.06%,3.57%,2.08%,1.96%,2.07%,2.96%,224,3,87,1,311,4,2.09%,2.97%,1.93%,2.04%,2.45%,100.00%,100.00%,13,1,5.31%,25.00%,US$389.87,US$29.99,13,1
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,506,7,199,1,705,8,6.09%,8.33%,5.61%,1.96%,5.95%,5.93%,675,8,281,1,956,9,6.30%,7.92%,6.22%,6.28%,5.52%,99.79%,100.00%,12,0,1.70%,0.00%,US$779.76,US$0.00,12,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,307,2,70,0,377,2,3.70%,2.38%,1.97%,0.00%,3.18%,1.48%,430,2,105,0,535,2,4.01%,1.98%,2.32%,3.51%,1.23%,100.00%,100.00%,11,0,2.92%,0.00%,US$329.89,US$0.00,11,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,93,2,48,3,141,5,1.12%,2.38%,1.35%,5.88%,1.19%,3.70%,122,2,59,4,181,6,1.14%,1.98%,1.31%,1.19%,3.68%,99.45%,100.00%,37,29,26.24%,580.00%,"US$1,799.64","US$1,399.72",10,2
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,184,1,52,2,236,3,2.21%,1.19%,1.46%,3.92%,1.99%,2.22%,267,2,86,5,353,7,2.49%,1.98%,1.90%,2.32%,4.29%,99.72%,100.00%,9,0,3.81%,0.00%,US$314.91,US$0.00,10,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,249,1,79,0,328,1,3.00%,1.19%,2.23%,0.00%,2.77%,0.74%,296,1,93,0,389,1,2.76%,0.99%,2.06%,2.55%,0.61%,99.23%,100.00%,10,1,3.05%,100.00%,US$299.90,US$29.99,10,1
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,82,1,20,1,102,2,0.99%,1.19%,0.56%,1.96%,0.86%,1.48%,106,1,23,1,129,2,0.99%,0.99%,0.51%,0.85%,1.23%,100.00%,100.00%,9,0,8.82%,0.00%,US$269.91,US$0.00,9,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,209,1,53,1,262,2,2.52%,1.19%,1.49%,1.96%,2.21%,1.48%,266,1,74,1,340,2,2.48%,0.99%,1.64%,2.23%,1.23%,99.71%,100.00%,9,0,3.44%,0.00%,US$314.91,US$0.00,8,0
B08XXHWMH7,B09155KNZY,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray Branch Queen Full Size 88x88 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season (1 Quilt+ 2 Shams),UQT110-Q,183,1,99,0,282,1,2.20%,1.19%,2.79%,0.00%,2.38%,0.74%,261,1,135,0,396,1,2.44%,0.99%,2.99%,2.60%,0.61%,100.00%,100.00%,9,0,3.19%,0.00%,US$359.91,US$0.00,8,0
