（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,387,4,179,0,566,4,4.74%,4.26%,5.19%,0.00%,4.88%,2.94%,551,7,252,0,803,7,5.21%,5.43%,5.79%,5.38%,3.83%,99.63%,100.00%,20,0,3.53%,0.00%,US$731.80,US$0.00,19,0
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,142,0,61,2,203,2,1.74%,0.00%,1.77%,4.76%,1.75%,1.47%,211,0,94,2,305,2,1.99%,0.00%,2.16%,2.04%,1.09%,100.00%,100.00%,17,5,8.37%,250.00%,US$666.33,US$193.45,13,1
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,232,3,69,0,301,3,2.84%,3.19%,2.00%,0.00%,2.59%,2.21%,290,3,83,0,373,3,2.74%,2.33%,1.91%,2.50%,1.64%,99.20%,100.00%,12,0,3.99%,0.00%,US$359.88,US$0.00,11,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,175,1,43,0,218,1,2.15%,1.06%,1.25%,0.00%,1.88%,0.74%,227,2,52,0,279,2,2.14%,1.55%,1.19%,1.87%,1.09%,100.00%,100.00%,9,0,4.13%,0.00%,US$314.91,US$0.00,9,0
B08K767M5V,B08CVS7G7W,"7 Pieces Comforter Sheet Set King Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-K,112,1,35,0,147,1,1.37%,1.06%,1.02%,0.00%,1.27%,0.74%,144,2,49,0,193,2,1.36%,1.55%,1.13%,1.29%,1.09%,100.00%,100.00%,9,0,6.12%,0.00%,US$593.91,US$0.00,9,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,227,2,62,1,289,3,2.78%,2.13%,1.80%,2.38%,2.49%,2.21%,336,7,81,1,417,8,3.17%,5.43%,1.86%,2.79%,4.37%,100.00%,100.00%,9,1,3.11%,33.33%,US$269.91,US$29.99,9,1
B092VTVKZ7,B09NQ3ST6Z,"UOZZI BEDDING 4 Pieces White Girls Toddler Bedding Set Purple Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-168,104,1,29,0,133,1,1.27%,1.06%,0.84%,0.00%,1.15%,0.74%,130,1,35,0,165,1,1.23%,0.78%,0.80%,1.10%,0.55%,100.00%,100.00%,10,0,7.52%,0.00%,US$299.90,US$0.00,9,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,202,1,94,1,296,2,2.48%,1.06%,2.73%,2.38%,2.55%,1.47%,259,1,121,1,380,2,2.45%,0.78%,2.78%,2.54%,1.09%,100.00%,100.00%,7,0,2.36%,0.00%,US$251.93,US$0.00,7,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,551,4,213,3,764,7,6.75%,4.26%,6.18%,7.14%,6.58%,5.15%,779,4,289,3,"1,068",7,7.36%,3.10%,6.64%,7.15%,3.83%,99.91%,100.00%,7,0,0.92%,0.00%,US$419.86,US$0.00,7,0
B08XXHWMH7,B0914ZJQ8D,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray Branch King Size 102x88 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season (1 Quilt+ 2 Shams),UQT110-K,63,0,51,1,114,1,0.77%,0.00%,1.48%,2.38%,0.98%,0.74%,89,0,60,1,149,1,0.84%,0.00%,1.38%,1.00%,0.55%,100.00%,100.00%,6,0,5.26%,0.00%,US$269.94,US$0.00,6,0
