（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,389,2,118,2,507,4,4.92%,3.51%,3.45%,3.33%,4.48%,3.42%,541,2,158,2,699,4,5.26%,2.38%,3.64%,4.78%,2.41%,99.86%,100.00%,15,1,2.96%,25.00%,US$899.70,US$59.98,15,1
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,473,3,235,6,708,9,5.98%,5.26%,6.88%,10.00%,6.25%,7.69%,649,3,305,7,954,10,6.31%,3.57%,7.03%,6.53%,6.02%,99.90%,100.00%,13,0,1.84%,0.00%,US$779.74,US$0.00,13,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,163,1,40,0,203,1,2.06%,1.75%,1.17%,0.00%,1.79%,0.85%,250,11,56,0,306,11,2.43%,13.10%,1.29%,2.09%,6.63%,99.35%,100.00%,12,0,5.91%,0.00%,US$419.88,US$0.00,12,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,269,4,93,2,362,6,3.40%,7.02%,2.72%,3.33%,3.20%,5.13%,336,4,109,2,445,6,3.27%,4.76%,2.51%,3.05%,3.61%,99.33%,100.00%,10,0,2.76%,0.00%,US$299.90,US$0.00,10,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,112,1,26,2,138,3,1.42%,1.75%,0.76%,3.33%,1.22%,2.56%,155,2,35,4,190,6,1.51%,2.38%,0.81%,1.30%,3.61%,100.00%,100.00%,9,1,6.52%,33.33%,US$269.91,US$29.99,9,1
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,187,2,59,3,246,5,2.37%,3.51%,1.73%,5.00%,2.17%,4.27%,234,2,81,5,315,7,2.28%,2.38%,1.87%,2.16%,4.22%,97.46%,100.00%,9,0,3.66%,0.00%,US$269.91,US$0.00,9,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,210,1,51,0,261,1,2.66%,1.75%,1.49%,0.00%,2.31%,0.85%,296,3,68,0,364,3,2.88%,3.57%,1.57%,2.49%,1.81%,100.00%,100.00%,8,0,3.07%,0.00%,US$279.92,US$0.00,8,0
B0BRN8J9X9,B099MY6VVH,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Pink,UCBS-03,125,1,53,2,178,3,1.58%,1.75%,1.55%,3.33%,1.57%,2.56%,161,1,67,2,228,3,1.57%,1.19%,1.55%,1.56%,1.81%,97.37%,100.00%,8,1,4.49%,33.33%,US$239.92,US$29.99,8,1
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,262,0,116,1,378,1,3.31%,0.00%,3.39%,1.67%,3.34%,0.85%,352,0,170,1,522,1,3.42%,0.00%,3.92%,3.57%,0.60%,99.43%,100.00%,7,0,1.85%,0.00%,US$279.93,US$0.00,7,0
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,83,2,43,0,126,2,1.05%,3.51%,1.26%,0.00%,1.11%,1.71%,112,3,56,0,168,3,1.09%,3.57%,1.29%,1.15%,1.81%,100.00%,100.00%,7,0,5.56%,0.00%,US$314.93,US$0.00,7,0
