（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,541,5,182,1,723,6,5.90%,6.49%,5.12%,2.44%,5.69%,5.08%,719,11,245,1,964,12,6.10%,10.00%,5.46%,5.92%,7.45%,99.38%,100.00%,18,0,2.49%,0.00%,US$651.82,US$0.00,18,0
B08D6LSCQ7,B07JGWLX2Q,"3 Piece Duvet Cover Set Queen (1 All Season Design Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots, 800 - TC Comforter Cover with Zipper Closure, 4 Corner Ties - Pink Gray Yellow Circles",BTN38-Q,144,1,48,0,192,1,1.57%,1.30%,1.35%,0.00%,1.51%,0.85%,197,1,70,0,267,1,1.67%,0.91%,1.56%,1.64%,0.62%,99.63%,100.00%,12,0,6.25%,0.00%,US$311.88,US$0.00,12,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,318,2,131,1,449,3,3.47%,2.60%,3.69%,2.44%,3.53%,2.54%,418,2,168,3,586,5,3.54%,1.82%,3.74%,3.60%,3.11%,99.83%,100.00%,14,1,3.12%,33.33%,US$503.86,US$35.99,11,1
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,671,5,232,1,903,6,7.32%,6.49%,6.53%,2.44%,7.10%,5.08%,905,7,307,2,"1,212",9,7.67%,6.36%,6.84%,7.44%,5.59%,99.59%,100.00%,10,0,1.11%,0.00%,US$599.80,US$0.00,10,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,116,0,21,0,137,0,1.27%,0.00%,0.59%,0.00%,1.08%,0.00%,156,0,27,0,183,0,1.32%,0.00%,0.60%,1.12%,0.00%,99.45%,0.00%,9,0,6.57%,0.00%,US$314.91,US$0.00,9,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,346,3,115,0,461,3,3.78%,3.90%,3.24%,0.00%,3.63%,2.54%,423,3,153,0,576,3,3.59%,2.73%,3.41%,3.54%,1.86%,99.83%,100.00%,10,0,2.17%,0.00%,US$659.90,US$0.00,9,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,153,0,37,2,190,2,1.67%,0.00%,1.04%,4.88%,1.49%,1.69%,201,0,43,2,244,2,1.70%,0.00%,0.96%,1.50%,1.24%,98.77%,100.00%,8,1,4.21%,50.00%,US$279.92,US$34.99,8,1
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,254,0,99,1,353,1,2.77%,0.00%,2.79%,2.44%,2.78%,0.85%,339,0,128,1,467,1,2.87%,0.00%,2.85%,2.87%,0.62%,99.14%,100.00%,7,0,1.98%,0.00%,US$275.13,US$0.00,7,0
B091Y38CV7,B08PNWDSSQ,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Gray",UTBS-02,114,2,24,1,138,3,1.24%,2.60%,0.68%,2.44%,1.09%,2.54%,134,2,29,1,163,3,1.14%,1.82%,0.65%,1.00%,1.86%,100.00%,100.00%,7,0,5.07%,0.00%,US$188.93,US$0.00,7,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,124,0,25,0,149,0,1.35%,0.00%,0.70%,0.00%,1.17%,0.00%,162,0,34,0,196,0,1.37%,0.00%,0.76%,1.20%,0.00%,99.49%,0.00%,7,0,4.70%,0.00%,US$209.93,US$0.00,7,0
