（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,465,2,217,7,682,9,6.51%,3.92%,7.11%,8.54%,6.69%,6.77%,630,2,275,8,905,10,6.79%,3.51%,7.20%,6.91%,6.33%,99.78%,100.00%,12,0,1.76%,0.00%,US$719.76,US$0.00,12,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,319,0,115,2,434,2,4.46%,0.00%,3.77%,2.44%,4.25%,1.50%,440,0,167,3,607,3,4.74%,0.00%,4.37%,4.63%,1.90%,99.67%,100.00%,13,0,3.00%,0.00%,US$519.87,US$0.00,11,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,333,3,119,5,452,8,4.66%,5.88%,3.90%,6.10%,4.43%,6.02%,467,3,161,7,628,10,5.03%,5.26%,4.21%,4.79%,6.33%,99.04%,90.00%,12,0,2.65%,0.00%,US$719.76,US$0.00,11,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,267,0,91,4,358,4,3.74%,0.00%,2.98%,4.88%,3.51%,3.01%,343,0,95,5,438,5,3.69%,0.00%,2.49%,3.34%,3.16%,99.54%,100.00%,11,0,3.07%,0.00%,US$329.89,US$0.00,10,0
B08K767M5V,B08CVS7G7W,"7 Pieces Comforter Sheet Set King Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-K,138,0,44,1,182,1,1.93%,0.00%,1.44%,1.22%,1.78%,0.75%,174,0,51,1,225,1,1.87%,0.00%,1.33%,1.72%,0.63%,100.00%,100.00%,9,0,4.95%,0.00%,US$593.91,US$0.00,9,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,260,8,90,2,350,10,3.64%,15.69%,2.95%,2.44%,3.43%,7.52%,356,12,118,2,474,14,3.83%,21.05%,3.09%,3.62%,8.86%,100.00%,100.00%,9,0,2.57%,0.00%,US$629.91,US$0.00,9,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,184,0,70,3,254,3,2.57%,0.00%,2.29%,3.66%,2.49%,2.26%,251,0,86,4,337,4,2.70%,0.00%,2.25%,2.57%,2.53%,100.00%,100.00%,11,0,4.33%,0.00%,US$329.89,US$0.00,9,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,67,1,22,1,89,2,0.94%,1.96%,0.72%,1.22%,0.87%,1.50%,96,1,29,1,125,2,1.03%,1.75%,0.76%,0.95%,1.27%,100.00%,100.00%,11,2,12.36%,100.00%,US$307.89,US$55.98,8,1
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,151,0,77,2,228,2,2.11%,0.00%,2.52%,2.44%,2.24%,1.50%,209,0,114,2,323,2,2.25%,0.00%,2.98%,2.46%,1.27%,99.07%,100.00%,7,1,3.07%,50.00%,US$279.93,US$39.99,7,1
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,100,0,24,0,124,0,1.40%,0.00%,0.79%,0.00%,1.22%,0.00%,138,0,43,0,181,0,1.49%,0.00%,1.13%,1.38%,0.00%,100.00%,0.00%,7,0,5.65%,0.00%,US$244.93,US$0.00,7,0
