（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,390,6,126,0,516,6,5.26%,9.52%,4.19%,0.00%,4.95%,5.08%,509,7,181,0,690,7,5.28%,9.09%,4.63%,5.09%,4.67%,99.86%,100.00%,12,1,2.33%,16.67%,US$719.76,US$59.98,12,1
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,267,3,116,6,383,9,3.60%,4.76%,3.86%,10.91%,3.67%,7.63%,345,4,150,8,495,12,3.58%,5.19%,3.84%,3.65%,8.00%,99.80%,100.00%,12,1,3.13%,11.11%,US$839.88,US$69.99,12,1
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,566,0,206,5,772,5,7.63%,0.00%,6.85%,9.09%,7.40%,4.24%,782,0,283,6,"1,065",6,8.10%,0.00%,7.24%,7.85%,4.00%,99.91%,100.00%,11,0,1.42%,0.00%,US$659.78,US$0.00,11,0
B07NW55BDC,B07NW47G7N,"UOZZI BEDDING All-Season Bright Pink Flannel Fleece Baby Small Blanket for Girls - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, Size 27""x39""",TZK21-70,41,0,16,0,57,0,0.55%,0.00%,0.53%,0.00%,0.55%,0.00%,55,0,19,0,74,0,0.57%,0.00%,0.49%,0.55%,0.00%,100.00%,0.00%,13,0,22.81%,0.00%,US$116.87,US$0.00,10,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,258,2,54,0,312,2,3.48%,3.17%,1.80%,0.00%,2.99%,1.69%,352,2,80,0,432,2,3.65%,2.60%,2.05%,3.19%,1.33%,99.54%,100.00%,10,0,3.21%,0.00%,US$299.90,US$0.00,10,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,225,2,84,2,309,4,3.03%,3.17%,2.79%,3.64%,2.96%,3.39%,266,2,98,2,364,4,2.76%,2.60%,2.51%,2.68%,2.67%,98.90%,100.00%,10,0,3.24%,0.00%,US$299.90,US$0.00,10,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,259,2,120,3,379,5,3.49%,3.17%,3.99%,5.45%,3.63%,4.24%,352,2,162,3,514,5,3.65%,2.60%,4.14%,3.79%,3.33%,99.81%,100.00%,9,0,2.37%,0.00%,US$359.91,US$0.00,9,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,269,0,102,0,371,0,3.63%,0.00%,3.39%,0.00%,3.56%,0.00%,331,0,135,0,466,0,3.43%,0.00%,3.45%,3.44%,0.00%,100.00%,0.00%,9,0,2.43%,0.00%,US$593.91,US$0.00,9,0
B091Y38CV7,B091Y46G8R,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Dark Gray & Gray",UTBSC-08,77,1,17,0,94,1,1.04%,1.59%,0.57%,0.00%,0.90%,0.85%,94,1,18,0,112,1,0.97%,1.30%,0.46%,0.83%,0.67%,100.00%,100.00%,9,0,9.57%,0.00%,US$269.91,US$0.00,8,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,94,2,16,0,110,2,1.27%,3.17%,0.53%,0.00%,1.05%,1.69%,139,3,23,0,162,3,1.44%,3.90%,0.59%,1.19%,2.00%,100.00%,100.00%,8,0,7.27%,0.00%,US$239.92,US$0.00,8,0
