（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,460,6,127,1,587,7,4.79%,5.22%,3.39%,1.85%,4.39%,4.14%,641,9,183,2,824,11,5.19%,6.47%,3.82%,4.80%,5.42%,100.00%,100.00%,14,0,2.39%,0.00%,US$839.72,US$0.00,14,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,175,1,74,1,249,2,1.82%,0.87%,1.97%,1.85%,1.86%,1.18%,230,1,99,1,329,2,1.86%,0.72%,2.07%,1.92%,0.99%,99.70%,100.00%,13,0,5.22%,0.00%,US$519.87,US$0.00,13,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,178,5,28,0,206,5,1.85%,4.35%,0.75%,0.00%,1.54%,2.96%,222,6,34,0,256,6,1.80%,4.32%,0.71%,1.49%,2.96%,99.61%,100.00%,11,0,5.34%,0.00%,US$384.89,US$0.00,11,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,337,5,60,0,397,5,3.51%,4.35%,1.60%,0.00%,2.97%,2.96%,483,7,88,0,571,7,3.91%,5.04%,1.84%,3.33%,3.45%,99.65%,100.00%,10,0,2.52%,0.00%,US$299.90,US$0.00,10,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,277,1,74,0,351,1,2.88%,0.87%,1.97%,0.00%,2.63%,0.59%,346,2,88,0,434,2,2.80%,1.44%,1.84%,2.53%,0.99%,99.77%,100.00%,9,0,2.56%,0.00%,US$269.91,US$0.00,9,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,323,4,145,5,468,9,3.36%,3.48%,3.87%,9.26%,3.50%,5.33%,453,4,198,5,651,9,3.67%,2.88%,4.13%,3.80%,4.43%,99.23%,100.00%,8,0,1.71%,0.00%,US$319.92,US$0.00,8,0
B08XXHWMH7,B09155KNZY,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray Branch Queen Full Size 88x88 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season (1 Quilt+ 2 Shams),UQT110-Q,198,0,109,1,307,1,2.06%,0.00%,2.91%,1.85%,2.30%,0.59%,284,0,158,1,442,1,2.30%,0.00%,3.30%,2.58%,0.49%,99.77%,100.00%,8,0,2.61%,0.00%,US$319.92,US$0.00,8,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,166,3,54,2,220,5,1.73%,2.61%,1.44%,3.70%,1.65%,2.96%,202,3,62,2,264,5,1.63%,2.16%,1.29%,1.54%,2.46%,99.24%,100.00%,8,0,3.64%,0.00%,US$239.92,US$0.00,8,0
B092VTVKZ7,B09NQ3ST6Z,"UOZZI BEDDING 4 Pieces White Girls Toddler Bedding Set Purple Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-168,136,1,23,0,159,1,1.42%,0.87%,0.61%,0.00%,1.19%,0.59%,166,1,30,0,196,1,1.34%,0.72%,0.63%,1.14%,0.49%,98.98%,100.00%,7,0,4.40%,0.00%,US$209.93,US$0.00,7,0
B07NW55BDC,B07NW5H492,"UOZZI BEDDING All-Season Teal (Light Blue) Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK24-70,62,1,22,1,84,2,0.65%,0.87%,0.59%,1.85%,0.63%,1.18%,88,1,26,2,114,3,0.71%,0.72%,0.54%,0.66%,1.48%,100.00%,100.00%,6,0,7.14%,0.00%,US$53.94,US$0.00,6,0
