（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,625,6,274,5,899,11,6.89%,7.50%,7.50%,5.81%,7.06%,6.63%,842,7,351,5,"1,193",12,7.20%,6.73%,7.67%,7.33%,5.69%,99.92%,100.00%,18,0,2.00%,0.00%,"US$1,079.64",US$0.00,18,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,249,0,122,3,371,3,2.74%,0.00%,3.34%,3.49%,2.91%,1.81%,418,0,167,5,585,5,3.57%,0.00%,3.65%,3.60%,2.37%,85.47%,100.00%,16,0,4.31%,0.00%,US$599.85,US$0.00,15,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,425,5,136,4,561,9,4.68%,6.25%,3.72%,4.65%,4.41%,5.42%,579,7,186,5,765,12,4.95%,6.73%,4.07%,4.70%,5.69%,100.00%,100.00%,11,0,1.96%,0.00%,US$659.78,US$0.00,11,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,240,1,47,0,287,1,2.64%,1.25%,1.29%,0.00%,2.25%,0.60%,331,7,62,0,393,7,2.83%,6.73%,1.36%,2.42%,3.32%,99.24%,100.00%,11,0,3.83%,0.00%,US$329.89,US$0.00,11,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,200,1,65,4,265,5,2.20%,1.25%,1.78%,4.65%,2.08%,3.01%,278,2,81,6,359,8,2.38%,1.92%,1.77%,2.21%,3.79%,98.05%,75.00%,10,0,3.77%,0.00%,US$299.90,US$0.00,9,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,314,3,104,6,418,9,3.46%,3.75%,2.85%,6.98%,3.28%,5.42%,393,6,118,8,511,14,3.36%,5.77%,2.58%,3.14%,6.64%,99.22%,100.00%,8,0,1.91%,0.00%,US$239.92,US$0.00,8,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,128,4,59,5,187,9,1.41%,5.00%,1.61%,5.81%,1.47%,5.42%,171,4,91,5,262,9,1.46%,3.85%,1.99%,1.61%,4.27%,100.00%,100.00%,7,0,3.74%,0.00%,US$349.93,US$0.00,7,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,277,3,104,1,381,4,3.05%,3.75%,2.85%,1.16%,2.99%,2.41%,371,3,129,1,500,4,3.17%,2.88%,2.82%,3.07%,1.90%,100.00%,100.00%,7,0,1.84%,0.00%,US$489.93,US$0.00,7,0
B0BRN8J9X9,B099MY6VVH,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Pink,UCBS-03,133,2,39,2,172,4,1.47%,2.50%,1.07%,2.33%,1.35%,2.41%,161,2,42,3,203,5,1.38%,1.92%,0.92%,1.25%,2.37%,99.01%,100.00%,7,1,4.07%,25.00%,US$209.93,US$29.99,7,1
B09YM4LNS6,B09YM5XT7Y,"4 Pieces Pink Toddler Bedding Set with Ruffle Fringe, Solid Color Toddler Bed Set - 1 Toddler Comforter + 1 Fitted Sheet +1 Flat Sheet +1 Pillowcase for Baby Boys and Girls",UTBS-CSHB-02,80,0,31,0,111,0,0.88%,0.00%,0.85%,0.00%,0.87%,0.00%,114,0,36,0,150,0,0.97%,0.00%,0.79%,0.92%,0.00%,100.00%,0.00%,7,0,6.31%,0.00%,US$230.93,US$0.00,7,0
