（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,218,2,87,2,305,4,2.90%,2.74%,2.39%,2.78%,2.73%,2.76%,256,3,107,2,363,5,2.58%,3.23%,2.20%,2.46%,2.54%,98.90%,100.00%,14,0,4.59%,0.00%,US$419.86,US$0.00,14,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,269,4,116,0,385,4,3.57%,5.48%,3.18%,0.00%,3.45%,2.76%,397,6,159,0,556,6,4.00%,6.45%,3.27%,3.76%,3.05%,100.00%,100.00%,11,0,2.86%,0.00%,US$399.89,US$0.00,11,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,564,6,288,4,852,10,7.49%,8.22%,7.90%,5.56%,7.63%,6.90%,770,6,411,4,"1,181",10,7.76%,6.45%,8.46%,7.99%,5.08%,100.00%,100.00%,11,0,1.29%,0.00%,US$659.78,US$0.00,11,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,436,2,209,3,645,5,5.79%,2.74%,5.73%,4.17%,5.77%,3.45%,617,2,307,3,924,5,6.22%,2.15%,6.32%,6.25%,2.54%,99.78%,100.00%,11,0,1.71%,0.00%,US$403.89,US$0.00,10,0
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,206,2,98,2,304,4,2.74%,2.74%,2.69%,2.78%,2.72%,2.76%,285,3,155,3,440,6,2.87%,3.23%,3.19%,2.98%,3.05%,99.77%,100.00%,10,0,3.29%,0.00%,US$386.90,US$0.00,9,0
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,193,1,97,3,290,4,2.56%,1.37%,2.66%,4.17%,2.60%,2.76%,249,1,115,3,364,4,2.51%,1.08%,2.37%,2.46%,2.03%,100.00%,100.00%,7,1,2.41%,25.00%,US$270.83,US$38.69,7,1
B08DXYYPHT,B07QYV47W2,UOZZI BEDDING 2 Piece Reversible Kids Quilt Set Twin Size 68x86 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season Colorful Dots (1 Quilt + 1 Shams),UQT38-T,73,1,55,2,128,3,0.97%,1.37%,1.51%,2.78%,1.15%,2.07%,100,1,68,3,168,4,1.01%,1.08%,1.40%,1.14%,2.03%,100.00%,100.00%,7,0,5.47%,0.00%,US$243.13,US$0.00,6,0
B08DXYYPHT,B08B51JB5N,UOZZI BEDDING 2 Piece Reversible Colorful Quilt Set Twin Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-T,55,0,30,2,85,2,0.73%,0.00%,0.82%,2.78%,0.76%,1.38%,89,0,44,3,133,3,0.90%,0.00%,0.91%,0.90%,1.52%,100.00%,100.00%,12,2,14.12%,100.00%,US$410.28,US$68.38,6,1
B091Y38CV7,B091Y46G8R,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Dark Gray & Gray",UTBSC-08,55,0,10,0,65,0,0.73%,0.00%,0.27%,0.00%,0.58%,0.00%,65,0,13,0,78,0,0.65%,0.00%,0.27%,0.53%,0.00%,100.00%,0.00%,6,0,9.23%,0.00%,US$167.94,US$0.00,6,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,79,1,19,1,98,2,1.05%,1.37%,0.52%,1.39%,0.88%,1.38%,109,2,26,1,135,3,1.10%,2.15%,0.54%,0.91%,1.52%,99.26%,100.00%,6,0,6.12%,0.00%,US$167.94,US$0.00,6,0
