（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,580,9,209,4,789,13,5.79%,7.56%,5.54%,6.15%,5.72%,7.07%,794,14,271,4,"1,065",18,6.07%,9.93%,5.71%,5.97%,8.29%,99.81%,100.00%,14,0,1.77%,0.00%,US$899.72,US$0.00,14,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,546,9,147,0,693,9,5.45%,7.56%,3.89%,0.00%,5.03%,4.89%,733,10,184,0,917,10,5.60%,7.09%,3.88%,5.14%,4.61%,99.89%,100.00%,13,1,1.88%,11.11%,US$779.74,US$59.98,13,1
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,185,1,47,0,232,1,1.85%,0.84%,1.25%,0.00%,1.68%,0.54%,239,2,62,0,301,2,1.83%,1.42%,1.31%,1.69%,0.92%,99.00%,100.00%,11,0,4.74%,0.00%,US$384.89,US$0.00,11,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,291,0,141,5,432,5,2.91%,0.00%,3.74%,7.69%,3.13%,2.72%,413,0,193,6,606,6,3.16%,0.00%,4.06%,3.40%,2.76%,99.67%,100.00%,9,0,2.08%,0.00%,US$359.91,US$0.00,9,0
B08XXHWMH7,B09155KNZY,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray Branch Queen Full Size 88x88 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season (1 Quilt+ 2 Shams),UQT110-Q,210,1,134,3,344,4,2.10%,0.84%,3.55%,4.62%,2.50%,2.17%,275,2,196,4,471,6,2.10%,1.42%,4.13%,2.64%,2.76%,100.00%,100.00%,9,0,2.62%,0.00%,US$359.91,US$0.00,9,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,107,2,20,1,127,3,1.07%,1.68%,0.53%,1.54%,0.92%,1.63%,156,4,23,1,179,5,1.19%,2.84%,0.48%,1.00%,2.30%,100.00%,100.00%,9,1,7.09%,33.33%,US$269.91,US$29.99,9,1
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,343,0,63,2,406,2,3.43%,0.00%,1.67%,3.08%,2.94%,1.09%,473,0,88,2,561,2,3.61%,0.00%,1.85%,3.15%,0.92%,100.00%,100.00%,9,0,2.22%,0.00%,US$269.91,US$0.00,9,0
B08D6LSCQ7,B07JGWLX2Q,"3 Piece Duvet Cover Set Queen (1 All Season Design Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots, 800 - TC Comforter Cover with Zipper Closure, 4 Corner Ties - Pink Gray Yellow Circles",BTN38-Q,139,3,61,2,200,5,1.39%,2.52%,1.62%,3.08%,1.45%,2.72%,194,4,90,3,284,7,1.48%,2.84%,1.90%,1.59%,3.23%,100.00%,100.00%,9,1,4.50%,20.00%,US$233.91,US$25.99,8,1
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,298,1,82,0,380,1,2.98%,0.84%,2.17%,0.00%,2.76%,0.54%,364,1,96,0,460,1,2.78%,0.71%,2.02%,2.58%,0.46%,99.57%,100.00%,8,0,2.11%,0.00%,US$239.92,US$0.00,8,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,217,1,82,1,299,2,2.17%,0.84%,2.17%,1.54%,2.17%,1.09%,276,1,96,1,372,2,2.11%,0.71%,2.02%,2.09%,0.92%,99.73%,100.00%,8,0,2.68%,0.00%,US$239.92,US$0.00,8,0
B07NW55BDC,B07NW5H492,"UOZZI BEDDING All-Season Teal (Light Blue) Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK24-70,58,0,22,0,80,0,0.58%,0.00%,0.58%,0.00%,0.58%,0.00%,79,0,25,0,104,0,0.60%,0.00%,0.53%,0.58%,0.00%,100.00%,0.00%,6,0,7.50%,0.00%,US$53.94,US$0.00,6,0
B0BBLJ457Y,B09QBR1VZN,UOZZI BEDDING Rhombus Comforter Sheet Set 7 Pieces Bed in a Bag White Green Yellow Diamond Queen Size (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG184-Q,59,2,17,0,76,2,0.59%,1.68%,0.45%,0.00%,0.55%,1.09%,73,2,22,0,95,2,0.56%,1.42%,0.46%,0.53%,0.92%,100.00%,100.00%,6,0,7.89%,0.00%,US$335.94,US$0.00,6,0
B01JL0GK9E,B01H1O8ANG,"UOZZI BEDDING 4 Corners Post Pink Canopy Bed Curtain for Girls & Adults - Cute Cozy Drape Square Netting for Twin Bed - 4 Opening 58"" W x 80"" L Mosquito Net - Princess Bedroom Decoration",FXA04-Q,50,1,27,1,77,2,0.50%,0.84%,0.72%,1.54%,0.56%,1.09%,71,1,35,1,106,2,0.54%,0.71%,0.74%,0.59%,0.92%,99.06%,100.00%,5,0,6.49%,0.00%,US$124.95,US$0.00,5,0
B07NW55BDC,B07NW47G7N,"UOZZI BEDDING All-Season Bright Pink Flannel Fleece Baby Small Blanket for Girls - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, Size 27""x39""",TZK21-70,47,1,23,1,70,2,0.47%,0.84%,0.61%,1.54%,0.51%,1.09%,75,1,28,1,103,2,0.57%,0.71%,0.59%,0.58%,0.92%,100.00%,100.00%,5,1,7.14%,50.00%,US$44.95,US$8.99,5,1
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,137,0,62,0,199,0,1.37%,0.00%,1.64%,0.00%,1.44%,0.00%,182,0,69,0,251,0,1.39%,0.00%,1.45%,1.41%,0.00%,100.00%,0.00%,5,0,2.51%,0.00%,US$214.95,US$0.00,5,0
B07SQPMYT8,B07SQPP9PN,UOZZI BEDDING Unicorn 4 Pieces Toddler Bedding Set with Colorful Rainbow Stars Pink Cute Girls Toddler Bed Comforter Sheet Set and Pillowcases,UTBS-Pink,76,0,24,0,100,0,0.76%,0.00%,0.64%,0.00%,0.73%,0.00%,99,0,32,0,131,0,0.76%,0.00%,0.67%,0.73%,0.00%,100.00%,0.00%,5,0,5.00%,0.00%,US$149.95,US$0.00,5,0
B08D3DNTBX,B07TVH8FR1,UOZZI BEDDING Colorful Dots Comforter Set King Size Pink Yellow Gray Blue Circles Print Reversible Down Alternative 800 TC Adult Duvet Sets 1 Microfiber Comforter with 2 Pillow Shams for Winter,UZBZ38-K,43,1,26,0,69,1,0.43%,0.84%,0.69%,0.00%,0.50%,0.54%,51,1,37,0,88,1,0.39%,0.71%,0.78%,0.49%,0.46%,100.00%,100.00%,5,0,7.25%,0.00%,US$234.95,US$0.00,5,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,150,1,71,6,221,7,1.50%,0.84%,1.88%,9.23%,1.60%,3.80%,178,1,113,9,291,10,1.36%,0.71%,2.38%,1.63%,4.61%,99.66%,100.00%,5,1,2.26%,14.29%,US$199.95,US$39.99,5,1
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,252,5,102,3,354,8,2.52%,4.20%,2.70%,4.62%,2.57%,4.35%,309,6,134,4,443,10,2.36%,4.26%,2.82%,2.48%,4.61%,99.77%,100.00%,5,0,1.41%,0.00%,US$329.95,US$0.00,5,0
B092VTVKZ7,B09NQ3ST6Z,"UOZZI BEDDING 4 Pieces White Girls Toddler Bedding Set Purple Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-168,143,0,25,1,168,1,1.43%,0.00%,0.66%,1.54%,1.22%,0.54%,181,0,33,1,214,1,1.38%,0.00%,0.70%,1.20%,0.46%,100.00%,100.00%,5,0,2.98%,0.00%,US$149.95,US$0.00,5,0
B08D6LSCQ7,B07FXCH4GZ,UOZZI BEDDING 3 Piece Colorful King Duvet Cover Set with Green Yellow Orange Cubes and Triangles 800 - TC 1 Comforter Cover 102x90 with 2 Pillowshams Zipper Closure 4 Corner Ties,BT09-K,40,0,17,2,57,2,0.40%,0.00%,0.45%,3.08%,0.41%,1.09%,48,0,19,2,67,2,0.37%,0.00%,0.40%,0.38%,0.92%,100.00%,100.00%,4,0,7.02%,0.00%,US$119.96,US$0.00,4,0
B08D6LSCQ7,B07M773C9S,3 Piece Duvet Cover Set Twin (1 Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots 800 - TC Comforter Cover with Zipper Closure 4 Corner Ties Pink Gray Yellow Circles for Teen Girls,BTN38-T,60,0,28,1,88,1,0.60%,0.00%,0.74%,1.54%,0.64%,0.54%,84,0,33,1,117,1,0.64%,0.00%,0.70%,0.66%,0.46%,100.00%,100.00%,5,1,5.68%,100.00%,US$124.95,US$24.99,4,1
B08DXYYPHT,B07T61X8LY,UOZZI BEDDING 3 Piece King Reversible Floral Quilt Set White Red Green Colorful Soft Microfiber Lightweight Summer Coverlet Red Flowers Adult Bedspread for All Season -1 Quilt +2 Pillow Shams,UQT09-K,74,2,39,0,113,2,0.74%,1.68%,1.03%,0.00%,0.82%,1.09%,123,2,48,0,171,2,0.94%,1.42%,1.01%,0.96%,0.92%,100.00%,100.00%,6,0,5.31%,0.00%,US$275.94,US$0.00,4,0
B08K767M5V,B08CVS7G7W,"7 Pieces Comforter Sheet Set King Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-K,168,4,48,0,216,4,1.68%,3.36%,1.27%,0.00%,1.57%,2.17%,216,5,64,0,280,5,1.65%,3.55%,1.35%,1.57%,2.30%,100.00%,100.00%,4,0,1.85%,0.00%,US$263.96,US$0.00,4,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,411,9,122,0,533,9,4.11%,7.56%,3.23%,0.00%,3.87%,4.89%,551,10,151,0,702,10,4.21%,7.09%,3.18%,3.94%,4.61%,99.29%,100.00%,4,0,0.75%,0.00%,US$209.97,US$0.00,4,0
B091Y38CV7,B091Y46G8R,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Dark Gray & Gray",UTBSC-08,65,1,13,0,78,1,0.65%,0.84%,0.34%,0.00%,0.57%,0.54%,92,1,15,0,107,1,0.70%,0.71%,0.32%,0.60%,0.46%,84.11%,100.00%,5,0,6.41%,0.00%,US$149.95,US$0.00,4,0
B092LX5PDW,B09KXL7TTG,UOZZI BEDDING Cream White Bed in a Bag King 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-K,146,4,53,0,199,4,1.46%,3.36%,1.40%,0.00%,1.44%,2.17%,177,4,72,0,249,4,1.35%,2.84%,1.52%,1.40%,1.84%,99.60%,100.00%,4,0,2.01%,0.00%,US$271.96,US$0.00,4,0
B08XXHWMH7,B09TSDL34B,Quilt Set Queen Size Cream White with Black Branch Bedding Set 88x88 Soft Microfiber Lightweight Coverlet Bedspread Summer 3 Pc Bed Cover for (1 Quilt+ 2 Shams),UQT165-Q,101,1,57,1,158,2,1.01%,0.84%,1.51%,1.54%,1.15%,1.09%,128,1,70,1,198,2,0.98%,0.71%,1.47%,1.11%,0.92%,100.00%,100.00%,4,0,2.53%,0.00%,US$179.96,US$0.00,4,0
B08DXYYPHT,B07T3YPBY1,UOZZI BEDDING 3 Piece Queen Reversible Floral Quilt Set White Red Green Colorful Soft Microfiber Lightweight Summer Coverlet Red Flowers Adult Bedspread for All Season -1 Quilt +2 Pillow Shams,UQT09-Q,108,1,64,3,172,4,1.08%,0.84%,1.70%,4.62%,1.25%,2.17%,141,1,73,3,214,4,1.08%,0.71%,1.54%,1.20%,1.84%,100.00%,100.00%,3,0,1.74%,0.00%,US$128.97,US$0.00,3,0
B09QC6HXD3,B07V3RZHLF,"Boys Toddler Bedding Set Navy with Colorful Cars Includes 1 Boys Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS73,37,1,13,0,50,1,0.37%,0.84%,0.34%,0.00%,0.36%,0.54%,48,1,16,0,64,1,0.37%,0.71%,0.34%,0.36%,0.46%,100.00%,100.00%,3,0,6.00%,0.00%,US$89.97,US$0.00,3,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,210,2,47,0,257,2,2.10%,1.68%,1.25%,0.00%,1.86%,1.09%,296,2,66,0,362,2,2.26%,1.42%,1.39%,2.03%,0.92%,99.72%,100.00%,4,0,1.56%,0.00%,US$139.96,US$0.00,3,0
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,107,0,47,0,154,0,1.07%,0.00%,1.25%,0.00%,1.12%,0.00%,148,0,55,0,203,0,1.13%,0.00%,1.16%,1.14%,0.00%,99.51%,0.00%,3,0,1.95%,0.00%,US$134.97,US$0.00,3,0
B08HV2DGDW,B08HLWJNZN,"Gray Faux Fur Comforter Set Full/Queen 3 Pieces - 1 Shaggy Comforter 90x90 and 2 Fur Pillowcases, Ultra Soft and Easy Care Sherpa Luxury Plush Super Warm Winter Shaggy Bedding Set",CMRCBZ01-Q,249,1,106,2,355,3,2.49%,0.84%,2.81%,3.08%,2.57%,1.63%,340,1,125,3,465,4,2.60%,0.71%,2.63%,2.61%,1.84%,99.78%,100.00%,3,0,0.85%,0.00%,US$227.97,US$0.00,3,0
B092LX5PDW,B08P4J11KL,Gray Comforter Sheet Set Bed in a Bag 6 Pieces Twin Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 1 Pillowcases),UZBIG02-T,58,0,23,0,81,0,0.58%,0.00%,0.61%,0.00%,0.59%,0.00%,80,0,31,0,111,0,0.61%,0.00%,0.65%,0.62%,0.00%,100.00%,0.00%,3,0,3.70%,0.00%,US$167.97,US$0.00,3,0
B091Y38CV7,B091YBKHZG,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Pink & Gray",UTBSC-10,54,1,16,1,70,2,0.54%,0.84%,0.42%,1.54%,0.51%,1.09%,73,1,18,1,91,2,0.56%,0.71%,0.38%,0.51%,0.92%,100.00%,100.00%,3,0,4.29%,0.00%,US$89.97,US$0.00,3,0
B0BRN8J9X9,B099MY6VVH,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Pink,UCBS-03,166,1,52,2,218,3,1.66%,0.84%,1.38%,3.08%,1.58%,1.63%,207,2,61,2,268,4,1.58%,1.42%,1.28%,1.50%,1.84%,99.25%,100.00%,3,0,1.38%,0.00%,US$89.97,US$0.00,3,0
B094QRWNTJ,B09VC678PS,"100% Cotton 4 Pieces Cars Toddler Bedding Set with Colorful Cars House Cloud Rainbow Includes Adorable Quilted White Comforter, Blue Fitted Sheet, Top Sheet, and Pillow Case for Boys Girls",UCMTBS-09,52,0,10,0,62,0,0.52%,0.00%,0.26%,0.00%,0.45%,0.00%,82,0,11,0,93,0,0.63%,0.00%,0.23%,0.52%,0.00%,100.00%,0.00%,3,0,4.84%,0.00%,US$134.97,US$0.00,3,0
B0BQV6HMN2,B07L2V3Y25,3 Pieces Duvet Cover Set Blue Gray with White Triangles - Ultra Soft and Easy Care Design Summer Bedding Duvet Cover Twin Size 68x86+ 2 Pillow Shams- 800 TC with Zipper Closure 4 Corner Ties,WTSIXU-XX,20,1,13,0,33,1,0.20%,0.84%,0.34%,0.00%,0.24%,0.54%,25,1,16,0,41,1,0.19%,0.71%,0.34%,0.23%,0.46%,97.56%,100.00%,2,0,6.06%,0.00%,US$49.98,US$0.00,2,0
B07NW55BDC,B07NW3P1FF,"UOZZI BEDDING All-Season Dark Gray Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK28-70,17,0,6,0,23,0,0.17%,0.00%,0.16%,0.00%,0.17%,0.00%,23,0,7,0,30,0,0.18%,0.00%,0.15%,0.17%,0.00%,100.00%,0.00%,2,0,8.70%,0.00%,US$19.98,US$0.00,2,0
B08DXYYPHT,B07TRKC348,White Quilt Set with Green Leaves Botanical Coverlet Bedspread 3 Pieces Queen Size Reversible Microfiber Summer Lightweight Style Colorful Colorful Quilt Bedding Set,UQT208-Q,86,0,53,3,139,3,0.86%,0.00%,1.40%,4.62%,1.01%,1.63%,102,0,66,4,168,4,0.78%,0.00%,1.39%,0.94%,1.84%,99.40%,100.00%,2,0,1.44%,0.00%,US$85.98,US$0.00,2,0
B08LY9MZ1Y,B08CVS2V95,"UOZZI BEDDING Bed in a Bag 6 Pieces Twin Size Unicorn Pink with Rainbow Star - Soft Microfiber, Reversible Bed Comforter Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG25-T,23,1,13,0,36,1,0.23%,0.84%,0.34%,0.00%,0.26%,0.54%,27,1,16,0,43,1,0.21%,0.71%,0.34%,0.24%,0.46%,100.00%,100.00%,2,0,5.56%,0.00%,US$119.98,US$0.00,2,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,149,0,44,0,193,0,1.49%,0.00%,1.17%,0.00%,1.40%,0.00%,213,0,55,0,268,0,1.63%,0.00%,1.16%,1.50%,0.00%,100.00%,0.00%,2,0,1.04%,0.00%,US$99.98,US$0.00,2,0
B092LX5PDW,B08P4HDY6H,White Floral Comforter Sheet Set 7 Pieces Bed in a Bag King Size Green Blue Leaves with Red Flowers Reversible Bedding Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG60-K,97,1,32,0,129,1,0.97%,0.84%,0.85%,0.00%,0.94%,0.54%,126,1,40,0,166,1,0.96%,0.71%,0.84%,0.93%,0.46%,99.40%,100.00%,2,0,1.55%,0.00%,US$139.98,US$0.00,2,0
B092LX5PDW,B08P4HW5GQ,White Floral Comforter Sheet Set 7 Pieces Bed in a Bag Queen Size Green Blue Leaves with Red Flowers Reversible Bedding Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG60-Q,168,5,65,2,233,7,1.68%,4.20%,1.72%,3.08%,1.69%,3.80%,202,5,72,2,274,7,1.54%,3.55%,1.52%,1.54%,3.23%,100.00%,100.00%,2,0,0.86%,0.00%,US$119.98,US$0.00,2,0
B092LX5PDW,B08XVR2FF1,Burgundy Red Comforter Sheet Set 7 Pieces Christmas Bed in a Bag Queen Size All Season Tree Branch Soft Microfiber Bedding Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG01-QN,150,2,71,0,221,2,1.50%,1.68%,1.88%,0.00%,1.60%,1.09%,175,2,76,0,251,2,1.34%,1.42%,1.60%,1.41%,0.92%,100.00%,100.00%,2,0,0.90%,0.00%,US$119.98,US$0.00,2,0
B08K767M5V,B091BSGJRD,Pink Floral Comforter Sheet Set Bed in a Bag 7 Pieces King Green Flower Microfiber Reversible Bedding Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG129-K,251,2,60,0,311,2,2.51%,1.68%,1.59%,0.00%,2.26%,1.09%,275,2,65,0,340,2,2.10%,1.42%,1.37%,1.91%,0.92%,99.41%,100.00%,2,0,0.64%,0.00%,US$125.98,US$0.00,2,0
