（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,570,2,231,5,801,7,6.78%,3.39%,6.84%,6.76%,6.80%,5.26%,827,4,305,11,"1,132",15,7.51%,5.06%,7.14%,7.41%,8.02%,99.38%,100.00%,20,0,2.50%,0.00%,"US$1,199.60",US$0.00,20,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,351,3,62,0,413,3,4.17%,5.08%,1.84%,0.00%,3.50%,2.26%,524,8,102,0,626,8,4.76%,10.13%,2.39%,4.10%,4.28%,100.00%,100.00%,15,0,3.63%,0.00%,US$449.85,US$0.00,15,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,351,1,108,5,459,6,4.17%,1.69%,3.20%,6.76%,3.89%,4.51%,477,1,131,5,608,6,4.33%,1.27%,3.07%,3.98%,3.21%,99.51%,100.00%,14,0,3.05%,0.00%,US$839.72,US$0.00,14,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,189,2,47,5,236,7,2.25%,3.39%,1.39%,6.76%,2.00%,5.26%,266,2,62,6,328,8,2.42%,2.53%,1.45%,2.15%,4.28%,99.70%,100.00%,14,0,5.93%,0.00%,US$489.86,US$0.00,14,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,187,2,67,1,254,3,2.22%,3.39%,1.98%,1.35%,2.15%,2.26%,247,2,85,1,332,3,2.24%,2.53%,1.99%,2.17%,1.60%,99.70%,100.00%,13,0,5.12%,0.00%,US$389.87,US$0.00,13,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,265,0,92,1,357,1,3.15%,0.00%,2.72%,1.35%,3.03%,0.75%,318,0,110,1,428,1,2.89%,0.00%,2.58%,2.80%,0.53%,99.53%,100.00%,10,1,2.80%,100.00%,US$299.90,US$29.99,10,1
B07NW55BDC,B07NW5H492,"UOZZI BEDDING All-Season Teal (Light Blue) Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK24-70,63,0,17,0,80,0,0.75%,0.00%,0.50%,0.00%,0.68%,0.00%,70,0,20,0,90,0,0.64%,0.00%,0.47%,0.59%,0.00%,100.00%,0.00%,8,0,10.00%,0.00%,US$71.92,US$0.00,8,0
B08K767M5V,B08CVS7G7W,"7 Pieces Comforter Sheet Set King Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-K,124,0,45,4,169,4,1.47%,0.00%,1.33%,5.41%,1.43%,3.01%,138,0,49,4,187,4,1.25%,0.00%,1.15%,1.22%,2.14%,100.00%,100.00%,33,28,19.53%,700.00%,"US$2,177.67","US$1,847.72",8,3
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,247,1,113,1,360,2,2.94%,1.69%,3.35%,1.35%,3.05%,1.50%,331,1,159,2,490,3,3.01%,1.27%,3.72%,3.21%,1.60%,99.59%,100.00%,7,0,1.94%,0.00%,US$279.93,US$0.00,7,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,218,2,54,3,272,5,2.59%,3.39%,1.60%,4.05%,2.31%,3.76%,308,3,67,4,375,7,2.80%,3.80%,1.57%,2.45%,3.74%,100.00%,100.00%,7,0,2.57%,0.00%,US$244.93,US$0.00,7,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,104,0,50,2,154,2,1.24%,0.00%,1.48%,2.70%,1.31%,1.50%,147,0,70,6,217,6,1.34%,0.00%,1.64%,1.42%,3.21%,100.00%,100.00%,8,1,5.19%,50.00%,US$399.92,US$49.99,7,1
