（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,370,2,143,2,513,4,4.64%,2.44%,4.37%,2.82%,4.56%,2.61%,493,3,192,3,685,6,4.77%,2.88%,4.62%,4.73%,3.14%,99.85%,100.00%,13,0,2.53%,0.00%,US$779.74,US$0.00,13,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,211,1,44,1,255,2,2.64%,1.22%,1.35%,1.41%,2.27%,1.31%,286,1,61,3,347,4,2.77%,0.96%,1.47%,2.39%,2.09%,100.00%,100.00%,13,0,5.10%,0.00%,US$454.87,US$0.00,12,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,477,6,192,2,669,8,5.98%,7.32%,5.87%,2.82%,5.95%,5.23%,680,7,254,5,934,12,6.58%,6.73%,6.11%,6.45%,6.28%,100.00%,66.67%,11,0,1.64%,0.00%,US$659.78,US$0.00,11,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,105,2,33,1,138,3,1.32%,2.44%,1.01%,1.41%,1.23%,1.96%,137,3,41,1,178,4,1.33%,2.88%,0.99%,1.23%,2.09%,100.00%,100.00%,12,0,8.70%,0.00%,US$359.88,US$0.00,11,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,301,3,59,2,360,5,3.77%,3.66%,1.80%,2.82%,3.20%,3.27%,419,5,88,2,507,7,4.06%,4.81%,2.12%,3.50%,3.66%,100.00%,100.00%,10,0,2.78%,0.00%,US$299.90,US$0.00,10,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,248,5,87,3,335,8,3.11%,6.10%,2.66%,4.23%,2.98%,5.23%,315,6,132,3,447,9,3.05%,5.77%,3.17%,3.08%,4.71%,100.00%,100.00%,10,0,2.99%,0.00%,US$659.90,US$0.00,10,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,291,1,125,1,416,2,3.65%,1.22%,3.82%,1.41%,3.70%,1.31%,400,1,188,1,588,2,3.87%,0.96%,4.52%,4.06%,1.05%,99.83%,100.00%,9,0,2.16%,0.00%,US$319.92,US$0.00,9,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,232,6,85,3,317,9,2.91%,7.32%,2.60%,4.23%,2.82%,5.88%,290,7,101,4,391,11,2.81%,6.73%,2.43%,2.70%,5.76%,99.74%,100.00%,8,0,2.52%,0.00%,US$559.92,US$0.00,8,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,121,0,46,2,167,2,1.52%,0.00%,1.41%,2.82%,1.48%,1.31%,159,0,59,4,218,4,1.54%,0.00%,1.42%,1.50%,2.09%,98.17%,50.00%,7,0,4.19%,0.00%,US$349.93,US$0.00,7,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,165,1,44,1,209,2,2.07%,1.22%,1.35%,1.41%,1.86%,1.31%,230,1,51,1,281,2,2.23%,0.96%,1.23%,1.94%,1.05%,100.00%,100.00%,7,0,3.35%,0.00%,US$244.93,US$0.00,7,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,223,1,74,1,297,2,2.79%,1.22%,2.26%,1.41%,2.64%,1.31%,291,1,92,1,383,2,2.82%,0.96%,2.21%,2.64%,1.05%,99.74%,100.00%,8,1,2.69%,50.00%,US$239.92,US$29.99,7,1
B01JL0GK9E,B01H1O894G,"UOZZI BEDDING 4 Corners Post Pink Canopy Bed Curtain for Girls & Adults - Cute Cozy Drape Square Netting for Twin Bed - 4 Opening 45"" W x 80"" L Mosquito Net - Princess Bedroom Decoration",FXA04-T,71,1,33,1,104,2,0.89%,1.22%,1.01%,1.41%,0.92%,1.31%,118,3,40,1,158,4,1.14%,2.88%,0.96%,1.09%,2.09%,98.10%,25.00%,6,0,5.77%,0.00%,US$149.94,US$0.00,6,0
B08K767M5V,B08CVS7G7W,"7 Pieces Comforter Sheet Set King Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-K,137,2,56,2,193,4,1.72%,2.44%,1.71%,2.82%,1.72%,2.61%,206,2,71,2,277,4,1.99%,1.92%,1.71%,1.91%,2.09%,100.00%,100.00%,6,0,3.11%,0.00%,US$395.94,US$0.00,6,0
B07NW55BDC,B07NW5H492,"UOZZI BEDDING All-Season Teal (Light Blue) Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK24-70,59,1,22,2,81,3,0.74%,1.22%,0.67%,2.82%,0.72%,1.96%,79,1,26,2,105,3,0.76%,0.96%,0.63%,0.72%,1.57%,100.00%,100.00%,5,0,6.17%,0.00%,US$44.95,US$0.00,5,0
B08XXHWMH7,B09155KNZY,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray Branch Queen Full Size 88x88 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season (1 Quilt+ 2 Shams),UQT110-Q,179,1,112,1,291,2,2.24%,1.22%,3.42%,1.41%,2.59%,1.31%,253,2,149,1,402,3,2.45%,1.92%,3.58%,2.77%,1.57%,100.00%,100.00%,5,0,1.72%,0.00%,US$199.95,US$0.00,5,0
B091Y38CV7,B091Y3D9GN,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Purple & Gray",UTBSC-11,24,0,7,1,31,1,0.30%,0.00%,0.21%,1.41%,0.28%,0.65%,28,0,7,1,35,1,0.27%,0.00%,0.17%,0.24%,0.52%,100.00%,100.00%,5,1,16.13%,100.00%,US$149.95,US$29.99,5,1
B091Y38CV7,B091YBKHZG,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Pink & Gray",UTBSC-10,72,0,18,0,90,0,0.90%,0.00%,0.55%,0.00%,0.80%,0.00%,86,0,18,0,104,0,0.83%,0.00%,0.43%,0.72%,0.00%,100.00%,0.00%,5,0,5.56%,0.00%,US$149.95,US$0.00,5,0
B0BQV6HMN2,B07L2V3Y25,3 Pieces Duvet Cover Set Blue Gray with White Triangles - Ultra Soft and Easy Care Design Summer Bedding Duvet Cover Twin Size 68x86+ 2 Pillow Shams- 800 TC with Zipper Closure 4 Corner Ties,WTSIXU-XX,18,0,7,0,25,0,0.23%,0.00%,0.21%,0.00%,0.22%,0.00%,38,0,7,0,45,0,0.37%,0.00%,0.17%,0.31%,0.00%,100.00%,0.00%,4,0,16.00%,0.00%,US$74.97,US$0.00,4,0
B08DXYYPHT,B07T3YPBY1,UOZZI BEDDING 3 Piece Queen Reversible Floral Quilt Set White Red Green Colorful Soft Microfiber Lightweight Summer Coverlet Red Flowers Adult Bedspread for All Season -1 Quilt +2 Pillow Shams,UQT09-Q,105,1,70,1,175,2,1.32%,1.22%,2.14%,1.41%,1.56%,1.31%,122,2,83,2,205,4,1.18%,1.92%,2.00%,1.41%,2.09%,100.00%,100.00%,4,0,2.29%,0.00%,US$171.96,US$0.00,4,0
