（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,567,6,237,4,804,10,6.54%,8.70%,6.75%,6.06%,6.60%,7.41%,785,7,330,7,"1,115",14,7.03%,6.31%,7.38%,7.13%,6.93%,100.00%,100.00%,17,2,2.11%,20.00%,"US$1,019.66",US$119.96,17,2
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,274,4,100,3,374,7,3.16%,5.80%,2.85%,4.55%,3.07%,5.19%,386,6,137,8,523,14,3.46%,5.41%,3.06%,3.34%,6.93%,99.62%,92.86%,10,0,2.67%,0.00%,US$599.80,US$0.00,10,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,237,0,104,0,341,0,2.73%,0.00%,2.96%,0.00%,2.80%,0.00%,304,0,138,0,442,0,2.72%,0.00%,3.08%,2.83%,0.00%,100.00%,0.00%,10,0,2.93%,0.00%,US$699.90,US$0.00,10,0
B08D6LSCQ7,B07JGWLX2Q,"3 Piece Duvet Cover Set Queen (1 All Season Design Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots, 800 - TC Comforter Cover with Zipper Closure, 4 Corner Ties - Pink Gray Yellow Circles",BTN38-Q,104,1,38,0,142,1,1.20%,1.45%,1.08%,0.00%,1.17%,0.74%,134,2,53,0,187,2,1.20%,1.80%,1.18%,1.20%,0.99%,100.00%,100.00%,8,0,5.63%,0.00%,US$207.92,US$0.00,8,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,272,1,47,1,319,2,3.14%,1.45%,1.34%,1.52%,2.62%,1.48%,382,1,56,1,438,2,3.42%,0.90%,1.25%,2.80%,0.99%,100.00%,100.00%,8,0,2.51%,0.00%,US$239.92,US$0.00,8,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,339,3,131,4,470,7,3.91%,4.35%,3.73%,6.06%,3.86%,5.19%,486,7,203,4,689,11,4.35%,6.31%,4.54%,4.41%,5.45%,99.42%,100.00%,7,0,1.49%,0.00%,US$279.93,US$0.00,7,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,186,1,41,1,227,2,2.15%,1.45%,1.17%,1.52%,1.86%,1.48%,250,2,61,1,311,3,2.24%,1.80%,1.36%,1.99%,1.49%,99.68%,100.00%,7,0,3.08%,0.00%,US$244.93,US$0.00,7,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,181,1,61,1,242,2,2.09%,1.45%,1.74%,1.52%,1.99%,1.48%,223,1,77,1,300,2,2.00%,0.90%,1.72%,1.92%,0.99%,98.67%,100.00%,7,0,2.89%,0.00%,US$209.93,US$0.00,7,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,257,2,111,1,368,3,2.97%,2.90%,3.16%,1.52%,3.02%,2.22%,314,2,143,1,457,3,2.81%,1.80%,3.20%,2.92%,1.49%,100.00%,66.67%,8,0,2.17%,0.00%,US$527.92,US$0.00,7,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,96,0,21,1,117,1,1.11%,0.00%,0.60%,1.52%,0.96%,0.74%,130,0,24,1,154,1,1.16%,0.00%,0.54%,0.98%,0.50%,100.00%,100.00%,6,0,5.13%,0.00%,US$167.94,US$0.00,6,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,257,2,62,0,319,2,2.97%,2.90%,1.77%,0.00%,2.62%,1.48%,336,2,67,0,403,2,3.01%,1.80%,1.50%,2.58%,0.99%,98.76%,100.00%,6,0,1.88%,0.00%,US$179.94,US$0.00,6,0
B0BRN8J9X9,B099MY6VVH,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Pink,UCBS-03,127,2,45,2,172,4,1.47%,2.90%,1.28%,3.03%,1.41%,2.96%,174,2,49,2,223,4,1.56%,1.80%,1.10%,1.43%,1.98%,98.21%,100.00%,6,0,3.49%,0.00%,US$179.94,US$0.00,6,0
B07NW55BDC,B07NW47G7N,"UOZZI BEDDING All-Season Bright Pink Flannel Fleece Baby Small Blanket for Girls - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, Size 27""x39""",TZK21-70,51,0,23,1,74,1,0.59%,0.00%,0.66%,1.52%,0.61%,0.74%,66,0,29,1,95,1,0.59%,0.00%,0.65%,0.61%,0.50%,100.00%,100.00%,5,0,6.76%,0.00%,US$44.95,US$0.00,5,0
B07SQPMYT8,B07SQPP9PN,UOZZI BEDDING Unicorn 4 Pieces Toddler Bedding Set with Colorful Rainbow Stars Pink Cute Girls Toddler Bed Comforter Sheet Set and Pillowcases,UTBS-Pink,74,0,20,1,94,1,0.85%,0.00%,0.57%,1.52%,0.77%,0.74%,117,0,28,1,145,1,1.05%,0.00%,0.63%,0.93%,0.50%,100.00%,100.00%,5,0,5.32%,0.00%,US$149.95,US$0.00,5,0
B091Y38CV7,B08PNWDSSQ,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Gray",UTBS-02,104,1,27,1,131,2,1.20%,1.45%,0.77%,1.52%,1.08%,1.48%,130,1,32,1,162,2,1.16%,0.90%,0.72%,1.04%,0.99%,99.38%,100.00%,5,0,3.82%,0.00%,US$134.95,US$0.00,5,0
