（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,447,4,153,6,600,10,5.88%,5.00%,4.59%,7.89%,5.49%,6.41%,602,6,190,7,792,13,6.05%,5.83%,4.55%,5.61%,6.44%,99.62%,100.00%,19,0,3.17%,0.00%,"US$1,139.62",US$0.00,19,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,253,1,77,3,330,4,3.33%,1.25%,2.31%,3.95%,3.02%,2.56%,371,2,102,3,473,5,3.73%,1.94%,2.44%,3.35%,2.48%,99.37%,100.00%,15,1,4.55%,25.00%,US$449.85,US$29.99,15,1
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,89,1,32,2,121,3,1.17%,1.25%,0.96%,2.63%,1.11%,1.92%,129,2,40,3,169,5,1.30%,1.94%,0.96%,1.20%,2.48%,100.00%,100.00%,13,1,10.74%,33.33%,US$389.87,US$29.99,13,1
B08HV2DGDW,B08HLWJNZN,"Gray Faux Fur Comforter Set Full/Queen 3 Pieces - 1 Shaggy Comforter 90x90 and 2 Fur Pillowcases, Ultra Soft and Easy Care Sherpa Luxury Plush Super Warm Winter Shaggy Bedding Set",CMRCBZ01-Q,190,5,73,1,263,6,2.50%,6.25%,2.19%,1.32%,2.41%,3.85%,255,8,95,1,350,9,2.56%,7.77%,2.28%,2.48%,4.46%,100.00%,100.00%,10,0,3.80%,0.00%,US$759.90,US$0.00,10,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,249,0,109,5,358,5,3.28%,0.00%,3.27%,6.58%,3.28%,3.21%,337,0,141,5,478,5,3.39%,0.00%,3.38%,3.39%,2.48%,99.79%,100.00%,9,0,2.51%,0.00%,US$359.91,US$0.00,9,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,478,1,227,3,705,4,6.29%,1.25%,6.82%,3.95%,6.45%,2.56%,663,3,301,3,964,6,6.67%,2.91%,7.21%,6.83%,2.97%,99.48%,100.00%,9,0,1.28%,0.00%,US$584.82,US$0.00,9,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,162,1,49,2,211,3,2.13%,1.25%,1.47%,2.63%,1.93%,1.92%,197,1,63,3,260,4,1.98%,0.97%,1.51%,1.84%,1.98%,100.00%,100.00%,9,0,4.27%,0.00%,US$314.91,US$0.00,9,0
B09QC6HXD3,B07V3RZHLF,"Boys Toddler Bedding Set Navy with Colorful Cars Includes 1 Boys Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS73,45,0,9,0,54,0,0.59%,0.00%,0.27%,0.00%,0.49%,0.00%,62,0,14,0,76,0,0.62%,0.00%,0.34%,0.54%,0.00%,100.00%,0.00%,8,0,14.81%,0.00%,US$239.92,US$0.00,8,0
B091Y38CV7,B091Y46G8R,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Dark Gray & Gray",UTBSC-08,57,2,13,2,70,4,0.75%,2.50%,0.39%,2.63%,0.64%,2.56%,76,2,14,2,90,4,0.76%,1.94%,0.34%,0.64%,1.98%,91.11%,100.00%,7,0,10.00%,0.00%,US$209.93,US$0.00,7,0
B0BRN8J9X9,B099MY6VVH,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Pink,UCBS-03,107,0,43,1,150,1,1.41%,0.00%,1.29%,1.32%,1.37%,0.64%,129,0,48,2,177,2,1.30%,0.00%,1.15%,1.25%,0.99%,99.44%,100.00%,7,0,4.67%,0.00%,US$209.93,US$0.00,7,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,92,0,41,4,133,4,1.21%,0.00%,1.23%,5.26%,1.22%,2.56%,127,0,64,9,191,9,1.28%,0.00%,1.53%,1.35%,4.46%,100.00%,100.00%,7,1,5.26%,25.00%,US$349.93,US$49.99,6,1
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,216,4,108,1,324,5,2.84%,5.00%,3.24%,1.32%,2.96%,3.21%,297,5,134,1,431,6,2.99%,4.85%,3.21%,3.05%,2.97%,99.54%,100.00%,6,0,1.85%,0.00%,US$419.94,US$0.00,6,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,248,6,67,2,315,8,3.26%,7.50%,2.01%,2.63%,2.88%,5.13%,300,6,82,2,382,8,3.02%,5.83%,1.97%,2.71%,3.96%,98.95%,100.00%,6,0,1.90%,0.00%,US$179.94,US$0.00,6,0
B07NW55BDC,B07NW47G7N,"UOZZI BEDDING All-Season Bright Pink Flannel Fleece Baby Small Blanket for Girls - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, Size 27""x39""",TZK21-70,32,0,15,2,47,2,0.42%,0.00%,0.45%,2.63%,0.43%,1.28%,40,0,21,2,61,2,0.40%,0.00%,0.50%,0.43%,0.99%,100.00%,100.00%,7,1,14.89%,50.00%,US$62.93,US$8.99,5,1
B07NW55BDC,B07NW5H492,"UOZZI BEDDING All-Season Teal (Light Blue) Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK24-70,57,0,25,2,82,2,0.75%,0.00%,0.75%,2.63%,0.75%,1.28%,75,0,34,4,109,4,0.75%,0.00%,0.81%,0.77%,1.98%,100.00%,100.00%,6,0,7.32%,0.00%,US$53.94,US$0.00,5,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,108,1,36,1,144,2,1.42%,1.25%,1.08%,1.32%,1.32%,1.28%,151,1,45,1,196,2,1.52%,0.97%,1.08%,1.39%,0.99%,98.98%,100.00%,5,0,3.47%,0.00%,US$199.95,US$0.00,5,0
B08K767M5V,B08CVS7G7W,"7 Pieces Comforter Sheet Set King Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-K,99,2,32,0,131,2,1.30%,2.50%,0.96%,0.00%,1.20%,1.28%,145,2,44,0,189,2,1.46%,1.94%,1.05%,1.34%,0.99%,100.00%,100.00%,5,0,3.82%,0.00%,US$329.95,US$0.00,5,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,211,1,94,1,305,2,2.78%,1.25%,2.82%,1.32%,2.79%,1.28%,262,2,124,2,386,4,2.63%,1.94%,2.97%,2.73%,1.98%,99.48%,100.00%,5,0,1.64%,0.00%,US$329.95,US$0.00,5,0
