（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,499,5,150,1,649,6,5.16%,4.39%,3.75%,1.20%,4.75%,3.05%,698,10,191,2,889,12,5.54%,6.99%,3.83%,5.05%,4.92%,100.00%,100.00%,17,0,2.62%,0.00%,US$959.68,US$0.00,17,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,360,6,132,2,492,8,3.72%,5.26%,3.30%,2.41%,3.60%,4.06%,503,7,172,2,675,9,3.99%,4.90%,3.45%,3.84%,3.69%,100.00%,100.00%,13,0,2.64%,0.00%,US$909.87,US$0.00,13,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,197,1,46,0,243,1,2.04%,0.88%,1.15%,0.00%,1.78%,0.51%,279,1,62,0,341,1,2.21%,0.70%,1.24%,1.94%,0.41%,99.71%,100.00%,11,0,4.53%,0.00%,US$384.89,US$0.00,11,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,200,1,67,1,267,2,2.07%,0.88%,1.68%,1.20%,1.95%,1.02%,254,5,77,1,331,6,2.02%,3.50%,1.54%,1.88%,2.46%,98.79%,100.00%,11,0,4.12%,0.00%,US$329.89,US$0.00,11,0
B08D6LSCQ7,B07JGWLX2Q,"3 Piece Duvet Cover Set Queen (1 All Season Design Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots, 800 - TC Comforter Cover with Zipper Closure, 4 Corner Ties - Pink Gray Yellow Circles",BTN38-Q,112,4,49,1,161,5,1.16%,3.51%,1.23%,1.20%,1.18%,2.54%,164,7,63,1,227,8,1.30%,4.90%,1.26%,1.29%,3.28%,100.00%,100.00%,10,0,6.21%,0.00%,US$259.90,US$0.00,10,0
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,273,5,92,2,365,7,2.82%,4.39%,2.30%,2.41%,2.67%,3.55%,328,5,112,6,440,11,2.60%,3.50%,2.24%,2.50%,4.51%,98.41%,100.00%,10,0,2.74%,0.00%,US$299.90,US$0.00,10,0
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,320,3,78,1,398,4,3.31%,2.63%,1.95%,1.20%,2.91%,2.03%,459,3,102,1,561,4,3.64%,2.10%,2.04%,3.19%,1.64%,99.29%,100.00%,10,0,2.51%,0.00%,US$299.90,US$0.00,9,0
B092LX5PDW,B0B7J5PNSW,Green Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Reversible Bedding Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 White Fitted Sheet 2 Pillowcases),UZBIG196-Q,172,0,100,1,272,1,1.78%,0.00%,2.50%,1.20%,1.99%,0.51%,221,0,116,1,337,1,1.75%,0.00%,2.33%,1.92%,0.41%,100.00%,100.00%,9,0,3.31%,0.00%,US$539.91,US$0.00,9,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,311,4,129,2,440,6,3.22%,3.51%,3.23%,2.41%,3.22%,3.05%,433,4,182,4,615,8,3.44%,2.80%,3.65%,3.50%,3.28%,99.35%,100.00%,9,0,2.05%,0.00%,US$359.91,US$0.00,8,0
B08XXHWMH7,B09155KNZY,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray Branch Queen Full Size 88x88 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season (1 Quilt+ 2 Shams),UQT110-Q,203,0,145,1,348,1,2.10%,0.00%,3.63%,1.20%,2.55%,0.51%,308,0,213,1,521,1,2.44%,0.00%,4.27%,2.96%,0.41%,99.62%,100.00%,8,0,2.30%,0.00%,US$319.92,US$0.00,8,0
