（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,397,6,142,4,539,10,4.42%,7.32%,3.72%,5.97%,4.21%,6.71%,538,11,191,4,729,15,4.57%,11.58%,3.90%,4.37%,8.43%,100.00%,100.00%,18,1,3.34%,10.00%,"US$1,079.64",US$59.98,18,1
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,636,7,264,4,900,11,7.08%,8.54%,6.91%,5.97%,7.03%,7.38%,888,9,365,5,"1,253",14,7.55%,9.47%,7.45%,7.52%,7.87%,99.92%,100.00%,17,0,1.89%,0.00%,"US$1,019.66",US$0.00,17,0
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,260,3,55,0,315,3,2.89%,3.66%,1.44%,0.00%,2.46%,2.01%,352,3,71,0,423,3,2.99%,3.16%,1.45%,2.54%,1.69%,100.00%,100.00%,13,0,4.13%,0.00%,US$389.87,US$0.00,12,0
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,190,2,76,2,266,4,2.11%,2.44%,1.99%,2.99%,2.08%,2.68%,266,3,92,3,358,6,2.26%,3.16%,1.88%,2.15%,3.37%,98.88%,100.00%,11,1,4.14%,25.00%,US$329.89,US$29.99,11,1
B0BRN8J9X9,B099MJ38BC,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Gray,UCBS-01,233,0,77,2,310,2,2.59%,0.00%,2.02%,2.99%,2.42%,1.34%,297,0,102,3,399,3,2.52%,0.00%,2.08%,2.39%,1.69%,98.75%,100.00%,10,0,3.23%,0.00%,US$299.90,US$0.00,10,0
B08T6WTS5M,B088KD7B58,UOZZI BEDDING 4 Piece Gray Dinosaurs Toddler Bedding Set with Colorful Dinos Boys Bed Comforter Sheet Set,UTBS-102N,281,6,64,1,345,7,3.13%,7.32%,1.68%,1.49%,2.69%,4.70%,386,6,83,1,469,7,3.28%,6.32%,1.69%,2.81%,3.93%,100.00%,100.00%,9,0,2.61%,0.00%,US$269.91,US$0.00,9,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,98,1,41,0,139,1,1.09%,1.22%,1.07%,0.00%,1.09%,0.67%,129,1,52,0,181,1,1.10%,1.05%,1.06%,1.09%,0.56%,100.00%,100.00%,10,0,7.19%,0.00%,US$499.90,US$0.00,9,0
B092LX5PDW,B08P4H29YB,Gray Comforter Sheet Set Bed in a Bag 7 Pieces King Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-K,250,1,96,2,346,3,2.78%,1.22%,2.51%,2.99%,2.70%,2.01%,313,1,127,3,440,4,2.66%,1.05%,2.59%,2.64%,2.25%,100.00%,100.00%,8,1,2.31%,33.33%,US$559.92,US$69.99,8,1
B092VTVKZ7,B092T8T2GF,"4 Pieces White Girls Toddler Bedding Set Orange Floral Style - Includes Adorable Quilted Flower Comforter, Green Plaid Fitted Sheet, Top Sheet, and Pillow Case for Girls Bed",UTBS-123,299,4,76,2,375,6,3.33%,4.88%,1.99%,2.99%,2.93%,4.03%,412,4,91,3,503,7,3.50%,4.21%,1.86%,3.02%,3.93%,100.00%,100.00%,8,1,2.13%,16.67%,US$239.92,US$29.99,8,1
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,303,4,121,3,424,7,3.37%,4.88%,3.17%,4.48%,3.31%,4.70%,381,4,160,3,541,7,3.24%,4.21%,3.26%,3.25%,3.93%,100.00%,100.00%,8,0,1.89%,0.00%,US$461.93,US$0.00,7,0
