（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,238,1,114,1,352,2,3.22%,2.04%,3.35%,1.96%,3.26%,2.00%,321,2,153,2,474,4,3.31%,3.51%,3.44%,3.35%,3.01%,99.79%,100.00%,12,0,3.41%,0.00%,US$435.88,US$0.00,12,0
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,469,4,223,2,692,6,6.34%,8.16%,6.56%,3.92%,6.41%,6.00%,649,4,307,3,956,7,6.70%,7.02%,6.90%,6.76%,5.26%,100.00%,100.00%,12,1,1.73%,16.67%,US$719.76,US$59.98,12,1
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,110,0,30,0,140,0,1.49%,0.00%,0.88%,0.00%,1.30%,0.00%,168,0,44,0,212,0,1.73%,0.00%,0.99%,1.50%,0.00%,100.00%,0.00%,12,1,8.57%,0.00%,US$419.88,US$34.99,12,1
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,152,2,70,3,222,5,2.05%,4.08%,2.06%,5.88%,2.06%,5.00%,190,2,86,4,276,6,1.96%,3.51%,1.93%,1.95%,4.51%,99.28%,100.00%,10,0,4.50%,0.00%,US$386.90,US$0.00,10,0
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,165,3,81,2,246,5,2.23%,6.12%,2.38%,3.92%,2.28%,5.00%,227,3,115,3,342,6,2.34%,5.26%,2.58%,2.42%,4.51%,100.00%,100.00%,10,0,4.07%,0.00%,US$386.90,US$0.00,10,0
B07NW55BDC,B07NW47G7N,"UOZZI BEDDING All-Season Bright Pink Flannel Fleece Baby Small Blanket for Girls - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, Size 27""x39""",TZK21-70,29,1,7,1,36,2,0.39%,2.04%,0.21%,1.96%,0.33%,2.00%,45,4,11,1,56,5,0.46%,7.02%,0.25%,0.40%,3.76%,100.00%,100.00%,7,0,19.44%,0.00%,US$62.93,US$0.00,7,0
B09QBX987B,B0BGHNFH2V,UOZZI BEDDING Floral Comforter Sheet Set 7 Pieces Bed in a Bag Dark Grey Golden Flower Queen Size (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG210-Q,65,0,26,0,91,0,0.88%,0.00%,0.77%,0.00%,0.84%,0.00%,99,0,39,0,138,0,1.02%,0.00%,0.88%,0.98%,0.00%,100.00%,0.00%,7,0,7.69%,0.00%,US$244.93,US$0.00,7,0
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,431,2,156,5,587,7,5.82%,4.08%,4.59%,9.80%,5.44%,7.00%,609,4,224,17,833,21,6.29%,7.02%,5.03%,5.89%,15.79%,99.76%,100.00%,6,0,1.02%,0.00%,US$219.94,US$0.00,6,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,72,1,33,2,105,3,0.97%,2.04%,0.97%,3.92%,0.97%,3.00%,102,1,41,2,143,3,1.05%,1.75%,0.92%,1.01%,2.26%,100.00%,100.00%,7,1,6.67%,33.33%,US$195.93,US$27.99,6,1
B0BRN8J9X9,B099MXYR8T,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design White,UCBS-02,127,2,56,1,183,3,1.72%,4.08%,1.65%,1.96%,1.69%,3.00%,157,2,62,1,219,3,1.62%,3.51%,1.39%,1.55%,2.26%,99.54%,100.00%,6,0,3.28%,0.00%,US$179.94,US$0.00,6,0
