（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08DXYYPHT,B07QXRHSNS,UOZZI BEDDING 3 Piece Reversible Quilt Set Queen Size 90x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-Q,445,4,169,6,614,10,6.08%,5.71%,5.03%,9.52%,5.75%,7.52%,638,6,235,8,873,14,6.69%,5.31%,5.38%,6.28%,6.97%,95.88%,100.00%,22,0,3.58%,0.00%,US$799.78,US$0.00,19,0
B08K767M5V,B08CVS5KZJ,"7 Pieces Comforter Sheet Set Queen Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG38-Q,199,2,79,3,278,5,2.72%,2.86%,2.35%,4.76%,2.60%,3.76%,286,3,130,4,416,7,3.00%,2.65%,2.98%,2.99%,3.48%,97.60%,100.00%,14,0,5.04%,0.00%,US$839.72,US$0.00,13,0
B08DXYYPHT,B08B52HXMX,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set King Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-K,213,0,102,0,315,0,2.91%,0.00%,3.04%,0.00%,2.95%,0.00%,291,0,139,0,430,0,3.05%,0.00%,3.18%,3.09%,0.00%,94.19%,0.00%,10,0,3.17%,0.00%,US$386.90,US$0.00,10,0
B08DXYYPHT,B08B51GQGQ,UOZZI BEDDING 3 Piece Reversible Colorful Quilt Set Queen Size with Green Orange Yellow Cubes Microfiber Lightweight Floral Coverlet Bedspread for All Season,UQT19-Q,272,1,102,1,374,2,3.71%,1.43%,3.04%,1.59%,3.50%,1.50%,361,1,132,1,493,2,3.79%,0.88%,3.02%,3.55%,1.00%,93.31%,100.00%,9,0,2.41%,0.00%,US$327.91,US$0.00,9,0
B091Y38CV7,B091Y6MZ8J,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Royal Blue & Gray",UTBSC-04,93,0,25,2,118,2,1.27%,0.00%,0.74%,3.17%,1.10%,1.50%,119,0,36,4,155,4,1.25%,0.00%,0.82%,1.11%,1.99%,94.84%,75.00%,9,2,7.63%,100.00%,US$251.91,US$55.98,9,2
B092LX5PDW,B08P4K1SYL,Gray Comforter Sheet Set Bed in a Bag 7 Pieces Queen Size Tree Branch Bloom Flower Microfiber Spring Bedding Set (1 Comforter 2 Pillow Shams 1 Tan Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG02-Q,511,7,237,5,748,12,6.98%,10.00%,7.06%,7.94%,7.00%,9.02%,688,7,340,7,"1,028",14,7.21%,6.19%,7.78%,7.39%,6.97%,96.98%,100.00%,8,0,1.07%,0.00%,US$479.84,US$0.00,8,0
B092LX5PDW,B09KXH87XM,UOZZI BEDDING Cream White Bed in a Bag Queen 7 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG165-Q,246,4,124,2,370,6,3.36%,5.71%,3.69%,3.17%,3.46%,4.51%,323,4,174,4,497,8,3.39%,3.54%,3.98%,3.57%,3.98%,95.77%,100.00%,8,0,2.16%,0.00%,US$503.92,US$0.00,8,0
B08D6LSCQ7,B07JGWLX2Q,"3 Piece Duvet Cover Set Queen (1 All Season Design Summer Duvet Cover + 2 Pillow Shams) with Colorful Dots, 800 - TC Comforter Cover with Zipper Closure, 4 Corner Ties - Pink Gray Yellow Circles",BTN38-Q,110,0,42,0,152,0,1.50%,0.00%,1.25%,0.00%,1.42%,0.00%,154,0,70,0,224,0,1.61%,0.00%,1.60%,1.61%,0.00%,96.43%,0.00%,7,0,4.61%,0.00%,US$181.93,US$0.00,7,0
B07NW55BDC,B07NW5H492,"UOZZI BEDDING All-Season Teal (Light Blue) Flannel Fleece Baby Blanket for Girls & Boys - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, 100% Microfiber Polyester 27""x39""",TZK24-70,45,2,25,0,70,2,0.61%,2.86%,0.74%,0.00%,0.66%,1.50%,64,2,34,0,98,2,0.67%,1.77%,0.78%,0.70%,1.00%,92.86%,100.00%,8,0,11.43%,0.00%,US$71.92,US$0.00,7,0
B091Y38CV7,B091Y46G8R,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Dark Gray & Gray",UTBSC-08,48,0,14,2,62,2,0.66%,0.00%,0.42%,3.17%,0.58%,1.50%,65,0,25,3,90,3,0.68%,0.00%,0.57%,0.65%,1.49%,93.33%,100.00%,10,1,16.13%,50.00%,US$279.90,US$27.99,7,1
